date,S,E,I1,I2,R,beta_pred
3/1/2020,19779823.87,4853.691345,1675.13573,970.0866789,3044.851951,1.36051768
3/2/2020,19776740.7,6456.706515,2194.750973,1247.906381,3727.785175,1.359283352
3/3/2020,19772579.75,8641.660679,2905.180861,1627.414584,4614.150914,1.358023976
3/4/2020,19766973.83,11598.21011,3872.672746,2145.41334,5778.423782,1.357211283
3/5/2020,19759457.77,15558.50182,5181.482772,2849.922841,7321.397782,1.354904582
3/6/2020,19749459.96,20794.56527,6935.39653,3802.078112,9377.734791,1.34899476
3/7/2020,19736303.04,27608.3759,9257.307232,5077.378774,12124.47441,1.339133938
3/8/2020,19719216.35,36313.68796,12285.95746,6765.695505,15789.89769,1.323812196
3/9/2020,19697361.07,47211.12159,16169.37472,8969.453993,20661.76192,1.301771664
3/10/2020,19669866.34,60559.29276,21055.22422,11799.6452,27093.63492,1.272251874
3/11/2020,19635874.47,76544.77696,27078.78413,15369.64711,35507.96353,1.236084555
3/12/2020,19594592.43,95253.49076,34349.53526,19787.16238,46394.62307,1.192548119
3/13/2020,19545346.91,116645.6844,42937.47206,25144.82072,60303.98186,1.141931707
3/14/2020,19487639.2,140536.9461,52860.25183,31510.13839,77833.92612,1.087227726
3/15/2020,19421196.22,166586.9995,64072.32778,38915.62666,99610.7629,1.030623968
3/16/2020,19346013.18,194298.5909,76457.12505,47349.88555,126264.4177,0.974384674
3/17/2020,19262381.51,223029.6681,89823.54137,56750.58259,158398.8597,0.92052837
3/18/2020,19170896.26,252020.806,103908.1021,67000.30807,196559.2654,0.871374833
3/19/2020,19072439.54,280437.2917,118383.7257,77926.27707,241198.0407,0.826814339
3/20/2020,18968139.28,307423.0364,132875.2623,89304.60807,292642.3548,0.786509605
3/21/2020,18859306.33,332160.7569,146981.0227,100869.4676,351066.1323,0.751389875
3/22/2020,18747357.17,353930.7718,160298.3428,112326.7337,416469.4015,0.721213972
3/23/2020,18633731.47,372160.3642,172450.3719,123371.1079,488667.4111,0.695610753
3/24/2020,18519814.22,386457.6311,183110.8499,133704.9704,567291.0245,0.674106028
3/25/2020,18406870.2,396626.5976,192024.0094,143056.9237,651798.699,0.656823259
3/26/2020,18295996.51,402662.9661,199017.4858,151197.9918,741499.0784,0.642338814
3/27/2020,18188094.32,404734.1157,204007.2811,157953.7971,835582.0819,0.629381843
3/28/2020,18083858.13,403148.5576,206995.2415,163211.7326,933155.5693,0.618182697
3/29/2020,17983779.8,398319.5979,208060.3497,166922.9179,1033284.346,0.60829988
3/30/2020,17888163.93,390727.6768,207345.6036,169099.3786,1135028.414,0.59940985
3/31/2020,17797151.17,380884.547,205042.3486,169807.3368,1237477.836,0.5912875
4/1/2020,17710746.46,369301.568,201373.7412,169157.7292,1339782.261,0.584455916
4/2/2020,17628849.07,356463.7169,196578.7783,167295.1247,1441173.868,0.578018792
4/3/2020,17551282.56,342809.7785,190897.9583,164386.1368,1540983.21,0.571195392
