date,S,E,I1,I2,R,beta
2020-02-29,4977625.0358104585,51.07082442250529,12.167918657677536,0.0,0.0,5.000063523008087
2020-03-01,4977620.780730306,54.731493252557044,12.625846151098175,0.09142051366603009,0.04511682818768106,4.968835040760188
2020-03-02,4977601.575677636,68.37998064664731,15.983854031905038,1.731168715549287,0.6049985569059081,4.451443249245286
2020-03-03,4977572.759635097,87.26636270173972,21.411410099755546,4.716918315890602,2.1233024174226234,3.8113628651956457
2020-03-04,4977528.941353766,114.52610408541231,29.914631268613,9.339734937459845,5.5586239202966174,3.198138830477871
2020-03-05,4977475.962746093,145.43816224927437,40.39346043490941,15.077164335848929,11.412158504431483,2.825493891117293
2020-03-06,4977402.0742414035,186.93994689449917,54.881652960866084,23.174138832904635,21.217928246403595,2.446589476814313
2020-03-07,4977278.715555149,254.3620046225498,78.82315133076214,36.80607358832908,39.58786936261078,1.9064996852295133
2020-03-08,4977116.402141518,338.5542844840211,110.01437604773766,54.926065639374364,68.40593614230791,1.5963725961898911
2020-03-09,4976914.176626783,438.4340358759878,148.13133950133405,77.64193767131152,109.92805095512296,1.4223786205700006
2020-03-10,4976665.937501209,555.7410695877622,193.89612370132346,105.57811338672396,167.1693365141471,1.306099186057678
2020-03-11,4976365.671061547,691.7332859385647,248.05259205288957,139.35131140948778,243.5248693409228,1.2190538602569696
2020-03-12,4976007.7248585895,847.0586837694705,311.2422647816812,179.558087399311,342.7607874309415,1.148107442398632
2020-03-13,4975587.101075545,1021.6395169922096,383.9038989508578,226.72686414685,468.9851470637353,1.086567200321222
2020-03-14,4975099.75238824,1214.581117100305,466.1914343945644,281.2586995104962,626.5845382653898,1.030852147208716
2020-03-15,4974542.860129174,1424.117418185547,557.9095906485866,343.3683269972441,820.1237777363363,0.9790118543017516
2020-03-16,4973915.070141327,1647.6063432931517,658.4692973948839,413.0319920311211,1054.2114285505795,0.9299961482212865
2020-03-17,4973216.659065481,1881.5874146137628,766.8669808153285,489.9468774700958,1333.337223882995,0.8832699610649692
2020-03-18,4972449.602230386,2121.912479504933,881.6925315605878,573.5064343084834,1661.6901920397304,0.8386117694493771
2020-03-19,4971617.515963977,2363.9563161171222,1001.1707876516932,662.7958114992562,2042.9688709992556,0.7960037156971702
2020-03-20,4970725.465609021,2602.895828754675,1123.2389743599053,756.6110963625833,2480.197457009813,0.7555546909704335
2020-03-21,4969779.6497230735,2834.032947958855,1245.6570705173833,853.504231608691,2975.5634535770296,0.7174514481644183
2020-03-22,4968786.9884554325,3053.126344700233,1366.1432711754999,951.8526011891948,3530.2925486240183,0.6819164539862823
2020-03-23,4967754.666188049,3256.6857586177634,1482.5212267712316,1049.9488101897034,4144.574623043985,0.6491664122065193
2020-03-24,4966689.687901071,3442.185244804724,1592.8616415207646,1146.102522540575,4817.550676822286,0.619375301822296
2020-03-25,4965598.490440295,3608.1788638322014,1695.6008806094826,1238.7434054321143,5547.36428365786,0.5926642592476798
2020-03-26,4964486.625696411,3754.3267452515097,1789.6260746110454,1326.514267431384,6331.27406357919,0.5691051938340838
2020-03-27,4963358.525019256,3881.3444356658842,1874.3225193387352,1408.3460159721676,7165.817520219011,0.5487290493618278
2020-03-28,4962217.345310211,3990.893137697232,1949.584167866006,1483.5093691854793,8047.012467386321,0.5315357963840723
2020-03-29,4961064.895321744,4085.4255000334533,2015.7914787237883,1551.6415427664485,8970.580369748408,0.5174978967521741
2020-03-30,4959901.63295023,4168.005703707045,2073.7621342636953,1612.7485233242624,9932.175947966109,0.5065648707681887
2020-03-31,4958726.723962951,4242.117460307303,2124.6822264198136,1667.1855625746507,10927.608754345121,0.49865541355199844
2020-04-01,4957538.162747993,4311.461913186379,2170.0235829062144,1715.6196812496687,11953.044677281194,0.4936436125329749
2020-04-02,4956332.95086835,4379.7513031443505,2211.4514445781397,1758.9779624036653,13005.177741678066,0.491344617470189
2020-04-03,4955107.321529441,4450.509881423679,2250.7266926918505,1798.3851381711365,14081.364911438284,0.49150378112220927
2020-04-04,4953856.9876342155,4526.900669614504,2289.607859777924,1835.0940614245947,15179.718798694577,0.49379620620972664
2020-04-05,4952577.396162625,4611.586991271389,2329.759654209312,1870.4133853624426,16299.155560028057,0.49783164210212505
2020-04-06,4951263.974317328,4706.633727516774,2372.673052124718,1905.6368853811518,17439.398100039012,0.5031704972559798
2020-04-07,4949912.34630934,4813.457294545324,2419.602021909365,1941.9785823518696,18600.937484217062,0.5093485863149703
2020-04-08,4948518.51489439,4932.8176834484575,2471.520139349394,1980.5175056383234,19784.95800638691,0.5159024901205158
2020-04-09,4947079.026137276,5064.826212824188,2529.095229223372,2022.154519423774,20993.233216451583,0.5223846550531128
2020-04-10,4945591.136393336,5208.949125072901,2592.6754744098675,2067.5809257195638,22228.000637963476,0.5283752951961016
2020-04-11,4944052.985764437,5364.0043572691275,2662.2812063941865,2117.2564677261826,23491.82175123002,0.5334927495568155
2020-04-12,4942463.770931504,5528.1597073822795,2737.599331644549,2171.3939257285815,24787.43197773901,0.5374053588734127
2020-04-13,4940823.899064029,5698.948392064616,2817.9813033384453,2229.948519311166,26117.583848508402,0.5398429694583132
2020-04-14,4939135.093319341,5873.324301711129,2902.449103693303,2292.6121387385083,27484.88605591448,0.5406139641830572
2020-04-15,4937400.423344839,6047.7702366975245,2989.716678268533,2358.8146649039772,28891.64198584546,0.5396171598780217
2020-04-16,4935624.257507684,6218.44871346554,3078.231401000134,2427.7357964679636,30339.693411774017,0.5368419814873028
2020-04-17,4933812.145748409,6381.377756417098,3166.2343572160707,2498.329628069641,31830.277005730157,0.5323607839874479
2020-04-18,4931970.643075833,6532.617405300395,3251.835254074374,2569.362119757298,33363.90196765488,0.5263157033349884
2020-04-19,4930107.088174528,6668.45222864179,3333.096264828077,2639.45988542038,34940.25627623386,0.5189020502170382
2020-04-20,4928229.356607293,6785.553893899401,3408.1183868066355,2707.167418619191,36558.14732886521,0.5103490787649477
2020-04-21,4926345.5994253745,6881.119361300672,3475.124282050338,2771.0089610419477,38215.48042252158,0.5009046955964002
2020-04-22,4924463.970590574,6952.987084925945,3532.5344473866962,2829.551439119159,39909.276014662086,0.4908251125613921
2020-04-23,4922592.35686163,6999.72410408113,3579.0341212511526,2881.465611136778,41635.72467674931,0.4803660167983934
2020-04-24,4920738.098229091,7020.702703864164,3613.629428524018,2925.582819575536,43390.27709757935,0.46978981574459094
2020-04-25,4918907.7233022,7016.145043378829,3635.6945748880603,2960.946256221835,45167.76558430149,0.45935185452497446
2020-04-26,4917106.745753075,6987.10453186539,3645.0016512773273,2986.8544400156948,46962.55293357682,0.4492916723394325
2020-04-27,4915339.512357273,6935.407481043849,3641.7290325082568,3002.8930296858784,48768.70250648564,0.43983046184528557
2020-04-28,4913609.107392971,6863.558990174074,3626.449967112637,3008.952670329189,50580.16148285034,0.4311653813021486
2020-04-29,4911917.325148987,6774.6112742709365,3600.101305783753,3005.2318184975143,52390.94844890748,0.42346496580784154
2020-04-30,4910264.704834207,6672.00794675656,3563.9341591154366,2992.224266636965,54195.33600510467,0.41686650172977463
2020-05-01,4908650.613432355,6559.422444709959,3519.4508191033588,2970.6924130484745,55988.01928491929,0.4114780689642526
2020-05-02,4907073.359362409,6440.606664772638,3468.3343078341622,2941.6288410210946,57764.26252707039,0.407381453335094
2020-05-03,4905530.325754262,6319.2574675678125,3412.376303299505,2906.209664516199,59520.01802634989,0.4046344332293194
2020-05-04,4904018.111306799,6198.9073639410935,3353.4086479767143,2865.743393337629,61252.014223702805,0.4032737122343763
2020-05-05,4902532.672917033,6082.838403110656,3293.2423535742023,2821.6190850630787,62957.812040851204,0.4033139263604554
2020-05-06,4901069.467366379,5974.016546411914,3233.6153954637894,2775.2568072307968,64635.830574031475,0.4047457822073009
2020-05-07,4899623.5874751,5875.045849800572,3176.1499859507426,2728.062492897646,66285.34463947568,0.4075323291749119
2020-05-08,4898189.9035098925,5788.127729135414,3122.3185641224513,2681.38850817801,67906.45754737394,0.4115986663751338
2020-05-09,4896763.228537597,5715.008033111677,3073.413798726806,2636.4996441020194,69500.05267912195,0.4168172566378775
2020-05-10,4895338.496640653,5656.925755972926,3030.5189999987106,2594.5427347492464,71067.72653507421,0.4230063560911203
2020-05-11,4893910.928984064,5614.584619750887,2994.481935399216,2556.5190066961864,72611.704929883,0.42993525036789737
2020-05-12,4892476.182531829,5588.1464808968985,2965.895612900189,2523.259958686671,74134.74421573867,0.43733188431482184
2020-05-13,4891030.48416028,5577.239071100526,2945.0869614523335,2495.4079466260005,75640.02017129683,0.44489351639989344
2020-05-14,4889570.7439504275,5580.980408015769,2932.113387004833,2473.4022363696354,77131.00770124316,0.4523059412304696
2020-05-15,4888094.643461251,5598.019127245906,2926.7679747476745,2457.4711929021887,78611.35484829267,0.4592616601782712
2020-05-16,4886600.699780707,5626.586741775287,2928.592419329024,2447.630909078946,80084.75493298001,0.46547942664776926
2020-05-17,4885088.306523753,5664.5577778934085,2936.8968774828213,2443.6901586307276,81554.82062038119,0.4707194213352265
2020-05-18,4883557.751174038,5709.516801191937,2950.785262002821,2445.261172010434,83024.96348950462,0.4747966755084197
2020-05-19,4882010.191391487,5758.846435863888,2969.186538632815,2451.775732643823,84498.28232586876,0.47759561329891637
2020-05-20,4880447.570216051,5809.848917281101,2990.895697246942,2462.507186209626,85977.46340093175,0.47908197385591506
2020-05-21,4878872.469190486,5859.893678958246,3014.6271906982206,2476.5999813564727,87464.69679595473,0.47930186176803474
2020-05-22,4877287.906498312,5906.578808084395,3039.0798239914284,2493.1078891692055,88961.61371104146,0.47837893210377747
2020-05-23,4875697.0854813345,5947.898319883839,3063.0106212920277,2511.040858299112,90469.24995822605,0.47650805997760076
2020-05-24,4874103.125485284,5982.385204722427,3085.31236790215,2529.4190373328447,91988.04049607858,0.4739331360409405
2020-05-25,4872508.814534161,6009.20197209032,3105.084318479924,2547.3299627985634,93517.848297495,0.4709252197459467
2020-05-26,4870916.403277858,6028.174101276286,3121.687038161572,2563.9830481446766,95058.02759765413,0.46776151057078647
2020-05-27,4869327.452369404,6039.76908290031,3134.7759705305757,2578.7557029182653,96607.51776127108,0.4647083267784672
2020-05-28,4867742.726927837,6045.039825551412,3144.3124854224975,2591.2268413579322,98164.96083577999,0.46201550539167807
2020-05-29,4866162.126760247,6045.550335645179,3150.5562388713815,2601.1961053182217,99728.83404915697,0.4599125388581479
2020-05-30,4864584.650179815,6043.28957453247,3154.0433141665935,2608.689458999666,101297.58838561543,0.45860560572392817
2020-05-31,4863008.390855487,6040.576374614914,3155.5539360725274,2613.952948310945,102869.78533516767,0.45827340573402975
2020-06-01,4861430.565416028,6039.959561464887,3156.0724203514387,2617.436607161138,104444.22530446263,0.459062114803936
2020-06-02,4859847.5664917305,6044.119074288543,3156.742084039802,2619.770451318069,106020.06254610527,0.46107977272324147
2020-06-03,4858255.046221129,6055.76312124538,3158.8170105191466,2621.734495167712,107596.90270924482,0.46438517817406194
2020-06-04,4856648.036089782,6077.517200995909,3163.610544042035,2624.2241336700326,109174.88009822468,0.468976669156832
2020-06-05,4855021.087881783,6111.820568084408,3172.4416528306037,2628.2117709333443,110754.7122668382,0.4747889769243274
2020-06-06,4853368.417671642,6160.843932822857,3186.58347127088,2634.7064014332796,112337.73020911281,0.48169462185722584
2020-06-07,4851684.039191612,6226.435869429601,3207.218107796811,2644.71370398038,113925.88369444781,0.4895147387877295
2020-06-08,4849961.874291719,6310.101670898079,3235.4020149595117,2659.1995623613197,115521.7230767992,0.4980352325016906
2020-06-09,4848195.8407626655,6413.00643945532,3272.043939105178,2679.0596546706106,117128.36085549876,0.507022554173619
2020-06-10,4846379.915184579,6535.999148342882,3317.894870904622,2705.0966759493535,118749.4176055893,0.5162446414163763
2020-06-11,4844508.1699908385,6679.653443604128,3373.549198722802,2738.0059244711647,120388.95738326378,0.5254891487154515
