date,S,E,I1,I2,R,beta
2020-02-21,21174830.020049747,50.57152991617829,12.095230533853266,0.0,0.0,5.0000147974648215
2020-02-22,21174827.089078434,53.460503431876994,11.796613505307159,0.287087860214088,0.05360951819289275,4.898563009980308
2020-02-23,21174817.05749874,59.89448430392892,14.14206103917542,1.1816565707574263,0.4114844364718516,4.523566911733559
2020-02-24,21174798.991989795,71.62916008708223,17.594956025006518,3.1268432503108263,1.3448977363304213,3.9743206504320066
2020-02-25,21174769.481115952,89.6013239304832,23.49154563625976,6.5266489093442965,3.5883719330530677,3.2738175677593495
2020-02-26,21174731.93299334,110.8087585183035,31.1402108606707,11.031027163539619,7.777495518649893,2.7614910088994584
2020-02-27,21174685.416694846,135.47536462547353,40.555854423644064,16.69057497388154,14.5538186328432,2.3803202700449178
2020-02-28,21174616.075256407,171.1341438701347,54.2786192896434,25.061023367224895,26.14601022037331,1.9212382789942812
2020-02-29,21174513.4410975,222.12761432355927,74.10800905050503,37.316843174074094,45.70566159270054,1.4825173264412668
2020-03-01,21174386.749621857,282.35004577764863,97.77702308892609,52.10261017890356,73.72526501778715,1.3001160764010098
2020-03-02,21174230.107797455,355.0855350371164,125.96400105171303,69.77271585507083,111.78140294718797,1.2177845083608396
2020-03-03,21174035.504778974,444.50503270312004,159.94921730124045,90.93886098141208,161.8224556002029,1.1820324661173558
2020-03-04,21173793.03640602,555.480682723614,201.45334278411605,116.49055323814517,226.27075609952547,1.1703309753929787
2020-03-05,21173490.62264737,693.672523115091,252.61901763918496,147.6271481104782,308.20481862013327,1.1708594527260554
2020-03-06,21173113.775541518,865.5500112336097,316.010648117689,185.87361977481874,411.554285147637,1.1765249812136167
2020-03-07,21172645.467775032,1078.3194609250636,394.6083049176127,233.08935171826835,541.3011860458381,1.1827169671498567
2020-03-08,21172066.153485674,1339.7340276953837,491.7756421379234,291.4667756539179,703.6825449820013,1.1863481763018646
2020-03-09,21171353.979262438,1657.7805055565957,611.1866483175851,363.5116956338305,906.3854488492001,1.1854229014476971
2020-03-10,21170485.20224576,2040.2569790584341,756.7032034370785,451.9966406864081,1158.7203272374838,1.1788104135982564
2020-03-11,21169434.829869546,2494.253382737186,932.201976715563,559.8809361960023,1471.753622391021,1.166066806450707
2020-03-12,21168177.489565007,3025.550308361962,1141.3521231531797,690.1940352733025,1858.3781962938515,1.1472873125236625
2020-03-13,21166688.51843533,3637.9635793152033,1387.3495721351703,845.8815700144337,2333.29869826625,1.1229500326124118
2020-03-14,21164945.260991298,4332.657505474964,1672.6165160842036,1029.6164823401487,2912.9099208481575,1.0937403505908199
2020-03-15,21162928.52243762,5107.481602017685,1998.4785228379592,1243.5800853045555,3615.048619018027,1.0604309960158025
2020-03-16,21160624.06223456,5956.426499211981,2364.8442868448533,1489.2225959153268,4458.603793909708,1.0238121972957803
2020-03-17,21158023.98987014,6869.29237891024,2769.9229691316996,1767.0194915761542,5462.978872459776,0.9846520369736286
2020-03-18,21155127.855205793,7831.705332596851,3210.022368092733,2076.2467038088857,6647.4117984192,0.9437137086028958
2020-03-19,21151943.17350353,8825.628894205778,3679.4859976850253,2414.806299452511,8030.17594177855,0.9017783344570668
2020-03-20,21148485.26934474,9830.35309711131,4170.819164394499,2779.1411700235676,9627.706584420448,0.8596201284016114
2020-03-21,21144776.47042899,10823.824061443534,4675.0118955641,3164.270374955423,11453.719467942628,0.817972268614432
2020-03-22,21140844.6990872,11784.194365859541,5182.036876041758,3563.95917437776,13518.401112119293,0.7775134623530963
2020-03-23,21136721.5873776,12691.429524755058,5681.4826341961025,3971.020119792692,15827.75306074521,0.738852543251954
2020-03-24,21132440.374308012,13528.728887989859,6163.253366501398,4377.723263627486,18383.163709550005,0.7025051425300777
2020-03-25,21128033.870878704,14283.554998246265,6618.244710301259,4776.273886290649,21181.260292866817,0.6688775384282969
2020-03-26,21123532.6833135,14948.197919455653,7038.912367594847,5159.302905890271,24214.062117921912,0.6382659103770926
2020-03-27,21118963.826650903,15519.86625394544,7419.67818733844,5520.314986383607,27469.421547386697,0.6108580972155173
2020-03-28,21114349.83351834,16000.323574143275,7757.140632500717,5854.048184932208,30931.70844187997,0.5867361510413635
2020-03-29,21109708.34259129,16395.192143433265,8050.08397750742,6156.712506775583,34582.670026514155,0.5658920513935571
2020-03-30,21105052.081539314,16713.074726418,8299.315112427701,6426.094196514866,38402.38488073708,0.5482443348570079
2020-03-31,21100389.17203677,16964.598976915688,8507.37144515447,6661.531951528514,42370.22931271256,0.5336490518435664
2020-04-01,21095723.67745919,17161.47145718835,8678.145311384904,6863.7844164723065,46465.7836771033,0.5219099807072096
2020-04-02,21091056.32546566,17315.597574268617,8816.46723511654,7034.815511609707,50669.62124167459,0.5127847972936522
2020-04-03,21086385.34180023,17438.309338831128,8927.681712159787,7177.525340101432,54963.93994963769,0.5059894113937409
2020-04-04,21081707.309989613,17539.751116867592,9017.246615452501,7295.453119711493,59333.01468664235,0.5012065954106724
2020-04-05,21077017.974020995,17628.45795909805,9090.385237786315,7392.477724538656,63763.46376731924,0.49809785536075224
2020-04-06,21072312.92699717,17711.13083950543,9151.811751854475,7472.539135281227,68244.33822688674,0.4963172404623397
2020-04-07,21067588.165545303,17792.57896496632,9205.54029658838,7539.399640631692,72767.0549058313,0.49552451819395343
2020-04-08,21062840.487638544,17875.811683098847,9254.775932211342,7596.456656567597,77325.20304112943,0.49540292618329834
2020-04-09,21058067.762235783,17962.21838385381,9301.880823039815,7646.612753003605,81914.25857821183,0.49566513088916175
2020-04-10,21053269.13010054,18051.766062394086,9348.394114174782,7692.2005593177555,86531.24105169084,0.49605622586802073
2020-04-11,21048445.139284525,18143.20826668482,9395.086532313491,7734.953513982284,91174.34383908298,0.4963572155743149
2020-04-12,21043597.816415202,18234.301643513427,9442.03809428629,7776.012242761816,95842.56226336822,0.4963865966095568
