date,S,E,I1,I2,R,beta
2020-02-21,13042439.254601695,54.0064443947397,13.458530209737795,0.0,0.0,5.000025863633823
2020-02-22,13042437.778875517,55.44453210606245,12.845401642746088,0.5303185654688357,0.12059903409257164,4.830643026168945
2020-02-23,13042426.07369953,63.449403358679774,14.866799806446515,1.7460071762557963,0.5842543320216533,4.394550657279783
2020-02-24,13042419.14502598,67.83934050557512,16.335579949672194,2.3683675884162496,1.032158352770018,4.29215826178959
2020-02-25,13042396.109475749,82.60157112918772,20.807728870687995,4.79522702560611,2.4076712597852508,3.730171902797776
2020-02-26,13042360.527955735,104.29855434428492,27.76795487379875,8.690601534519121,5.43854622930652,3.170617810492745
2020-02-27,13042310.816587836,133.01758493517332,37.60417519182053,14.239554605651978,11.048407226487848,2.691157291871967
2020-02-28,13042253.509868467,164.25052033737612,48.88789866318195,20.69004918307345,19.391069285821533,2.4494798879408584
2020-02-29,13042155.11692615,217.42046000727376,67.81884979225806,31.696393026627778,34.68208835688501,1.9599349055286752
2020-03-01,13042015.653750412,290.21188452742877,94.30131811659267,47.15206230137402,59.423261228464916,1.6085443354160733
2020-03-02,13041836.875896595,380.7375115389086,127.43109909829708,66.6385083039605,95.0689828790783,1.4552620291417235
2020-03-03,13041607.864789201,494.6718843237344,168.83806183152677,91.06119845124371,144.3286365048762,1.381574465242046
2020-03-04,13041314.150282403,639.3737152614692,220.92558158384162,121.69581998238017,210.63547186354612,1.347731193357395
2020-03-05,13040937.237801213,824.0474238158035,286.88188212714124,160.27402289494282,298.3608256554505,1.3357746029315007
2020-03-06,13040453.722091354,1060.0959406392737,370.79404384655106,209.087871375315,413.12911311375586,1.3358302359763716
2020-03-07,13039834.366153516,1361.4211511501142,477.7852829719755,271.0949343700907,562.1960699019538,1.341667305592532
2020-03-08,13039043.231620755,1744.607647344507,614.1485254936721,350.027230866171,754.8920617699503,1.3489501971393345
2020-03-09,13038036.982152382,2228.9098184071854,787.4442991440966,450.4948538745523,1003.1300022836173,1.3545229280688047
2020-03-10,13036764.523429897,2835.943355359342,1006.5252405512574,578.0665218917111,1321.9686582666063,1.3560901441901565
2020-03-11,13035167.200915022,3588.9545228689544,1281.4406162101147,739.3018798116187,1730.208595361376,1.3520266941422583
2020-03-12,13033179.806446504,4511.544868540159,1623.1656977080158,941.7027865825809,2250.9799401507803,1.3412595904661253
2020-03-13,13030732.6183952,5625.78184565887,2043.1021984721924,1193.54521344381,2912.2589506356107,1.3231910066947672
2020-03-14,13027754.633228922,6949.700864013464,2552.3113878349404,1503.5535723470787,3747.2266229458605,1.2976307080528209
2020-03-15,13024177.96821443,8494.362715220701,3160.4734941767247,1880.3878625844125,4794.361737361745,1.2647633122926858
2020-03-16,13019943.065948276,10260.901433666413,3874.6332242134554,2331.9369077884717,6097.149614886184,1.2251511026214479
2020-03-17,13015003.941973014,12238.236615690965,4697.888105843405,2864.4545786051176,7703.297808891073,1.1797434939873308
2020-03-18,13009332.60259981,14402.058808129206,5628.255271122625,3481.633452886111,9663.392915700606,1.1298203684386712
2020-03-19,13002921.844493624,16715.48219150756,6657.960135929688,4183.755920866764,12029.009240005844,1.0769011711334973
2020-03-20,12995785.90366076,19131.431638001504,7773.347577648694,4967.080953295574,14850.375626402925,1.0226207179838087
2020-03-21,12987958.940459544,21596.35965259508,8955.495757739032,5823.604154513415,18173.800369352168,0.9685560205171985
2020-03-22,12979491.842189282,24054.554462325286,10181.451937670396,6741.264504116109,22039.118470497804,0.9160517456258517
2020-03-23,12970447.950049868,26452.37606381642,11425.884250898584,7704.583611927382,26477.437855698347,0.8661521530854699
2020-03-24,12960898.26475136,28741.953361211352,12662.912965161437,8695.650049710313,31509.421026864482,0.8195967647946402
2020-03-25,12950916.592631722,30884.07113446524,13867.89836812442,9695.317990520434,37144.26526116855,0.7768679775194085
2020-03-26,12940574.99470934,32850.1200608652,15019.015835049713,10684.478554198204,43379.45677381915,0.7382490422351177
2020-03-27,12929939.843597377,34623.0653677751,16098.49657612172,11645.274168373266,50201.28960544577,0.7038806105998486
2020-03-28,12919068.666548938,36197.5073176157,17093.468432573158,12562.150737296675,57586.06865286016,0.6738031879224646
2020-03-29,12908007.888242235,37578.944478479716,17996.378376590386,13422.674367909447,65501.863914611946,0.6479831061703587
2020-03-30,12896791.610088417,38782.30142723667,18805.005626739476,14218.070058508863,73910.65119598337,0.6263191694083551
2020-03-31,12885441.579519425,39829.75778191541,19522.076948252114,14943.460347670369,82770.65937338435,0.6086319284790763
2020-04-01,12873968.142517421,40748.234977649,20154.52619661981,15597.797983107364,92038.738594899,0.5946708898541581
2020-04-02,12862371.73224568,41567.00653819831,20712.527445279888,16183.522387485267,101672.57166448187,0.5841308961646879
2020-04-03,12850644.752084615,42315.516816224546,21208.4358816477,16706.006987322075,111632.58396823399,0.5766543216634162
2020-04-04,12838773.60323918,43021.59246404879,21655.72617883949,17172.871446027217,121883.45391238797,0.5718524809863998
2020-04-05,12826740.372636024,43710.37321891502,22068.056363364118,17593.23952646762,132395.17277908575,0.5693412168203199
2020-04-06,12814524.10000526,44403.848578143225,22458.559593082035,17977.031879517202,143143.65663943352,0.5687568226977666
2020-04-07,12802101.819014894,45120.690395461286,22839.361918292343,18334.358988974145,154110.96210424884,0.5697592233788679
2020-04-08,12789449.484618537,45876.218893191275,23221.27537471715,18675.038487182355,165285.182701418,0.5720301168986958
2020-04-09,12776542.935799921,46682.33861167928,23613.607255840874,19008.231718220013,176660.10440337865,0.5752610799254306
2020-04-10,12763359.032575414,47547.333889756184,24024.016634382333,19342.17468894271,188234.68568618438,0.5791437125154029
2020-04-11,12749876.95059263,48475.572345672575,24458.375012381806,19683.970419245845,200012.40645996228,0.583365931189182
2020-04-12,12736079.623906001,49467.14245467615,24920.616458018198,20039.41551386508,212000.51098837453,0.5876070134394233
2020-04-13,12721955.255766744,50517.51764748406,25412.572559186745,20412.841782861327,224209.1564551798,0.591544832991376
2020-04-14,12707498.729654523,51617.386690170475,25933.82143222351,20806.96703269779,236650.47181685377,0.5948679196350627
2020-04-15,12692712.838008117,52752.682416730524,26481.58524380422,21222.76406139694,249337.53390426672,0.5972880840263299
2020-04-16,12677609.23617453,53904.84551020837,27050.70134743044,21659.36336266139,262283.275967626,0.598555118653191
2020-04-17,12662209.122870818,55051.263531081975,27633.683496721686,22114.005769176336,275499.3544129958,0.5984628505257331
2020-04-18,12646543.652484395,56165.846098913236,28220.864015579256,22582.053209826805,288995.00849706546,0.5968563464923833
2020-04-19,12630654.000993606,57219.772232564,28800.61860953179,23057.060306673848,302775.9507621843,0.5936362403071892
2020-04-20,12614591.049840525,58182.40104758517,29359.676239123815,23530.910107441767,316843.3269650227,0.5887601299474201
2020-04-21,12598414.563936997,59022.41947340603,29883.520751412532,23994.01760208943,331192.7853522136,0.5822485220672375
