date,S,E,I1,I2,R,beta
2020-02-23,6719536.006363948,52.23508692140833,11.857483882000809,0.0,0.0,5.000047691217951
2020-02-24,6719519.539825599,63.059272716207865,15.112839773177479,1.7751019910272867,0.6123840245544195,4.277158775979716
2020-02-25,6719492.963626219,79.63930207002954,20.37014563546145,4.859427974386793,2.267839852119106,3.4628476252228406
2020-02-26,6719476.01083705,88.90646393519205,23.923420631270837,6.931607884825405,4.328607428519977,3.351099267132038
2020-02-27,6719453.8667496415,101.21575053144306,28.344815799610576,9.537737150725496,7.136773694184478,3.111353947431277
2020-02-28,6719414.6944507845,122.99713124016478,36.01610529137962,14.133194048038622,12.262700521309213,2.6651733877309907
2020-02-29,6719355.719237917,154.63318613162446,47.55258202919803,21.01880782417624,21.182548233473263,2.2219376735101393
2020-03-01,6719284.732254868,191.13116422714535,61.112540371050635,29.16135578549627,33.97260724611851,2.019422608383282
2020-03-02,6719182.351246986,243.26234680117977,80.1618170905021,40.620628764784854,53.71924024000271,1.7561095138969176
2020-03-03,6719033.586900566,318.18574567784515,107.37895139644084,56.866957948553214,84.10479685170156,1.4929608763022377
2020-03-04,6718842.442846664,413.20937570170884,141.59457456128467,77.11907952302467,125.76821014431017,1.3972189022989423
2020-03-05,6718595.960515406,535.1141649312897,184.97526624126039,102.5606444090314,181.5376063653199,1.3604627338347268
2020-03-06,6718278.114463166,691.8073105569895,240.37188968540306,134.76859346680237,255.10417050255077,1.3484029523330059
2020-03-07,6717869.688632527,892.1663445407751,311.26900333954836,175.7782645445361,351.28720455126063,1.3446562552795145
2020-03-08,6717348.528767934,1145.585888640488,401.68952531106044,228.0931564815898,476.32039342860065,1.339854989687869
2020-03-09,6716690.342170672,1461.1464256905645,516.0003546428692,294.6379494707428,638.1244620963065,1.3283096012787257
2020-03-10,6715870.112465207,1846.4369834832378,658.5798891770106,378.6358684966095,846.5246736012468,1.3068318835328505
2020-03-11,6714863.975259688,2306.252746618666,833.3511004709093,483.3933952909802,1113.3596797416258,1.2743000245461493
2020-03-12,6713651.226051385,2841.486656176587,1043.2434243331368,611.9963143690995,1452.4241102015808,1.2313123468260345
2020-03-13,6712216.077441587,3448.504533858674,1289.6875053193503,766.950845261419,1879.200519589892,1.1797722579054348
2020-03-14,6710548.826473873,4119.185213253941,1572.255423544714,949.8282122304706,2410.3673834096,1.122407205004234
2020-03-15,6708646.246620351,4841.630473525701,1888.5312798557852,1160.9805430558413,3063.110995848118,1.0622302313097058
2020-03-16,6706511.206949146,5601.384036115464,2234.2445658724037,1399.3863833798737,3854.308696958006,1.0020283438466093
2020-03-17,6704151.675849339,6382.90136894716,2603.640055172231,1662.6583856940947,4799.677960114272,0.9440378501132194
2020-03-18,6701579.325220813,7171.023414652036,2990.013416337501,1947.2127039243005,5912.99357177081,0.8898521525422868
2020-03-19,6698807.90637931,7952.305524923564,3386.328329096371,2248.5715378472823,7205.463160028938,0.8404986165557283
2020-03-20,6695851.5438766135,8716.108081193484,3785.8407800795735,2561.7549952150384,8685.326551997183,0.7965706342245352
2020-03-21,6692723.11635224,9455.356119536356,4182.666797558128,2881.7135907191414,10357.714949593757,0.7583474578248607
2020-03-22,6689432.897286316,10166.893634664071,4572.237707332458,3203.752822964809,12224.77586747816,0.7258794653047214
2020-03-23,6685987.630170477,10851.373473119702,4951.595816505545,3523.904342673627,14286.040991416481,0.6990212311389997
2020-03-24,6682390.126254424,11512.717548782903,5319.496945612014,3839.203396444521,16538.988015846808,0.6774544544643507
2020-03-25,6678639.33843244,12157.289789491637,5676.321586670249,4147.84441128231,18979.72688261635,0.6607221699210846
2020-03-26,6674730.8513796,12792.89853167725,6023.82628013006,4449.205827602975,21603.730887093585,0.6482538924785671
2020-03-27,6670657.619839086,13427.819462620413,6364.781683160312,4743.75280174997,24406.534626833298,0.6394166558587828
2020-03-28,6666410.713151227,14070.042944302466,6702.5735947577905,5032.845563986274,27384.33279407616,0.6335710647201503
2020-03-29,6661980.004200407,14726.742088512181,7040.832869149621,5318.4956749576995,30534.437025655803,0.630097188613174
2020-03-30,6657354.854188439,15403.865662621716,7383.117044032485,5603.108474671806,33855.57419095126,0.628403460518001
2020-03-31,6652524.779799003,16105.840735247904,7732.645712885394,5889.235938211078,37348.02841747663,0.6279436040820006
2020-04-01,6647480.155898977,16835.307972371753,8092.086559093255,6179.353785969222,41013.63996601116,0.6282034338311347
2020-04-02,6642213.060692096,17592.79189589155,8463.364073573075,6475.664349799127,44855.678234301886,0.6286880563019003
2020-04-03,6636718.232408183,18376.35070934498,8847.471717869223,6779.917106925487,48878.602559448984,0.6289245415438921
2020-04-04,6630994.03556171,19181.30008306968,9244.29290029532,7093.240877148248,53087.71903752004,0.6284743255726885
2020-04-05,6625043.345963668,20000.07392426135,9652.449699288765,7415.989383744769,57488.740517141094,0.6269503319788302
2020-04-06,6618874.2587810205,20822.27508502974,10069.202580089035,7747.608451277147,62087.26100952824,0.6240389569589575
2020-04-07,6612500.523164009,21634.95491712524,10490.426661710746,8086.538347239176,66888.16300918192,0.619517916308265
2020-04-08,6605941.660122046,22423.105088115375,10910.681359925056,8430.167109104103,71894.98494309836,0.6132654232499066
2020-04-09,6599222.7582781855,23170.31727153206,11323.375434749905,8774.847299384857,77109.28402858654,0.6052600287768937
2020-04-10,6592373.951415736,23859.568345614793,11721.0198038833,9115.981727658527,82530.0350848943,0.5955727326777391
2020-04-11,6585429.594088021,24474.0874429586,12095.554773157855,9448.17690251975,88153.10726582777,0.5843538111214704
2020-04-12,6578427.1461902205,24998.27692482564,12438.735535052792,9765.457785192135,93970.8583203587,0.5718200177430068
2020-04-13,6571405.833721734,25418.614286888394,12742.556870601678,10061.534282805458,99971.8807434835,0.5582376590535311
2020-04-14,6564405.16794455,25724.46971516212,12999.68784637801,10330.105174910466,106140.92643334852,0.5439089832964661
2020-04-15,6557463.360086551,25908.824905640202,13203.894544395562,10565.182239923392,112459.02628416818,0.5291612279204051
2020-04-16,6550615.746129441,25968.812538365815,13350.428057456214,10761.417755377537,118903.81034736874,0.5143306664911645
2020-04-17,6543893.394883061,25905.967160252825,13436.340124294144,10914.415444581367,125450.0221621964,0.49974772856348376
2020-04-18,6537322.061089292,25726.113673078584,13460.685062184491,11020.999393274724,132070.2061411938,0.48572076836292993
2020-04-19,6530921.600019528,25438.877352834952,13424.573640025883,11079.412195948526,138735.5307424312,0.47251872120490046
