date,S,E,I1,I2,R,beta
2020-03-05,3130652.2094445117,53.7822126941738,12.36754748381342,0.0,0.0,5.00010564853236
2020-03-06,3130646.5830798927,57.75286251976947,13.404080975065815,0.46594614693699693,0.15342845694604162,4.834938613405121
2020-03-07,3130627.9757921034,70.32396699627367,16.7937109639629,2.389825244009207,0.8769894277585959,4.228458803393782
2020-03-08,3130597.0553131597,89.86291816504222,22.819310614569986,5.798213087291025,2.826162901120349,3.501186746454868
2020-03-09,3130557.3629853707,113.29844866838539,30.74128881201734,10.30317557306049,6.658014343522439,2.982735588463717
2020-03-10,3130510.557068676,139.14423228376614,40.14632995090255,15.740481151511776,12.777997954260291,2.634770239595082
2020-03-11,3130439.096230378,177.37784253956013,54.3287765495618,24.080378028238407,23.48601806923547,2.1545723257409715
2020-03-12,3130331.310128976,232.62959556723624,75.4360581805333,36.76852179129279,42.22937841715391,1.6585363726490407
2020-03-13,3130196.715293919,297.35953347219845,101.29217024387962,52.722964568985915,70.28866367079402,1.3805812812125113
2020-03-14,3130036.00345451,370.12561724705915,131.27204623781506,71.78365172042585,109.19899276619633,1.2213254605073998
2020-03-15,3129846.9684308046,451.0064768937852,165.42788576444434,94.09431326337126,160.89182401243698,1.1125552133422942
2020-03-16,3129628.0200954196,539.5185792891738,203.74408618499925,119.7419881757889,227.3691774915918,1.0293476576196827
2020-03-17,3129378.275389276,634.6684366420509,246.05169506674923,148.7393480183629,310.66365592655546,0.9605807932621322
2020-03-18,3129097.5670633647,735.0647517747722,291.9946062805779,180.99454638600665,412.7815445405147,0.9009660830005954
2020-03-19,3128786.374082834,839.0731081383497,341.0375803939243,216.29125669830213,535.6296901636348,0.8479878495270006
2020-03-20,3128445.6894641104,944.9892715790783,392.50585201381426,254.28723388918243,680.9362159864936,0.8004859914077807
2020-03-21,3128076.845730143,1051.2091364035687,445.6451101511428,294.5320410260559,850.1774261176647,0.757959058562921
2020-03-22,3127681.3251870912,1156.371895949202,499.6906523027225,336.50037755354214,1044.5218747935792,0.7201777800025604
2020-03-23,3127260.578870949,1259.4622017349952,553.9344254962931,379.635028291028,1264.7992615956293,0.6870112219757996
2020-03-24,3126815.865482206,1359.8708805835652,607.7822138706697,423.39281765168164,1511.4976230553023,0.65834725046778
2020-03-25,3126348.1244866145,1457.4112392060908,660.796007059074,467.2877507403018,1784.7883975265374,0.634042162658398
2020-03-26,3125857.892999226,1552.2930089941055,712.7182139444533,510.9266090869675,2084.575765353286,0.6139005361682912
2020-03-27,3125345.261039471,1645.0689442545342,763.4774378837678,554.033710620818,2410.56424299072,0.5976793033702996
2020-03-28,3124809.8614456817,1736.563420923558,813.1787116236837,596.4636521213696,2762.3371761392473,0.5850809322073418
2020-03-29,3124250.894553186,1827.787333598396,862.0808879239993,638.2024105980938,3139.4386602450822,0.5757524317755397
2020-03-30,3123667.179315744,1919.8497627353618,910.564638180453,679.3580658816317,3541.452023367352,0.5692944051100667
2020-03-31,3123057.22147791,2013.8753192135093,959.095205172637,720.1432462531195,3968.0691076909493,0.565274169540839
2020-04-01,3122419.2883641566,2110.9352045626474,1008.1839312603151,760.8519010800949,4419.1461218550285,0.563246266206793
2020-04-02,3121751.4807013334,2211.997038417503,1058.3526552799815,801.8332654321988,4894.743635207625,0.5627729785963368
2020-04-03,3121051.797902979,2317.8920801206573,1110.1037244955933,843.4658207244531,5395.150106187092,0.5634424416588605
2020-04-04,3120318.197755882,2429.2949245153395,1163.8964996470897,886.1334002753,5920.889895823735,0.5648800454269364
2020-04-05,3119548.6498613604,2546.713448290162,1220.1300461301093,930.2046455537234,6472.717739930159,0.5667580977311533
2020-04-06,3118741.181841032,2670.487218020012,1279.1317464560457,976.0163782878441,7051.602156657993,0.5688021111086772
2020-04-07,3117893.9226749265,2800.788460512036,1341.150650983157,1023.8609478754265,7658.700443180836,0.5707876496366335
2020-04-08,3117005.1451176414,2937.62355451081,1406.3537634539605,1073.9770409567723,8295.327675665312,0.5725369791021803
2020-04-09,3116073.304988619,3080.836838703576,1474.8244475747938,1126.5433061547058,8962.921582397026,0.5739169930677122
2020-04-10,3115097.0792666567,3230.114334770648,1546.5624629837966,1181.6743083392416,9663.004736560473,0.5748301435607905
2020-04-11,3114075.4038481447,3384.9869944577063,1621.4846172901846,1239.4182209812116,10397.145207622856,0.5752073121256497
2020-04-12,3113007.504807086,3544.8391803540558,1699.4262029120569,1299.7557594991104,11166.916453326323,0.5750052333864646
2020-04-13,3111892.9187629865,3708.924833270477,1780.144460438515,1362.600409930906,11973.857095801686,0.5742041627762223
2020-04-14,3110731.5042396034,3876.387709277481,1863.3246015628113,1427.8003171264243,12819.431416808982,0.5728039791229492
2020-04-15,3109523.4478790923,4046.2813818294526,1948.587689145477,1495.1419487177047,13704.991598225986,0.5708194579648176
2020-04-16,3108269.263326673,4217.591329611204,2035.4995582716522,1564.3552712384826,14631.74265459894,0.5682799998481758
2020-04-17,3106969.7811481506,4389.259921633826,2123.581026193991,1635.1202456723033,15600.710826240918,0.5652266271730617
2020-04-18,3105626.1319262898,4560.211772677366,2212.319170543627,1707.0745660420112,16612.716111790476,0.5617086947630167
2020-04-19,3104239.7217288604,4729.37996404483,2301.179501261678,1779.8225524915847,17668.349515378264,0.5577833406071928
2020-04-20,3102812.2055040714,4895.727814244315,2389.618433936432,1852.9450256931377,18767.95553077824,0.553511412224947
2020-04-21,3101345.459808369,5058.266366779717,2477.0947217926278,1926.009531918121,19911.620268824496,0.548957015311623
2020-04-22,3099841.552035303,5216.070662894631,2563.080093162634,1998.5802588635395,21099.16540164033,0.5441848240717769
2020-04-23,3098302.7136659753,5368.2882190045075,2647.0686060054068,2070.2271787326194,22330.14793336557,0.5392540825090036
2020-04-24,3096731.3218229534,5514.137940089784,2728.583237484225,2140.5337446404237,23603.865443427312,0.5342154581333934
2020-04-25,3095129.883215633,5652.906897222782,2807.179664601333,2209.1025872287832,24919.365884820767,0.5291105394533795
2020-04-26,3093501.020767903,5783.944976188737,2882.448089943451,2275.5592835378875,26275.46070948799,0.5239688603758482
2020-04-27,3091847.470853244,5906.65135610727,2954.01234692448,2339.554346353228,27670.740055057388,0.5188059629198613
2020-04-28,3090172.08782385,6020.458229015559,3021.525763425478,2400.763223335253,29103.588631927156,0.5136269615258221
2020-04-29,3088477.8515699916,6124.815831867363,3084.6652509940564,2458.8843894599113,30572.20094890139,0.5084275493573331
2020-04-30,3086767.883567231,6219.173446792124,3143.12418142553,2513.635937570723,32074.59479578921,0.5031917550865227
2020-05-01,3085045.470311305,6302.958563124096,3196.603683274348,2564.7508079272984,33608.62211960459,0.49789388722930317
2020-05-02,3083314.08355659,6375.564130597754,3244.8035753593595,2611.970935326072,35171.97645482707,0.49250352778131207
2020-05-03,3081577.397933302,6436.341169843875,3287.4147607531045,2655.0411344054187,36762.196417157145,0.48698591387147355
2020-05-04,3079839.3083400726,6484.593473698307,3324.113181104807,2693.7033719855754,38376.66538579894,0.48130299310385494
2020-05-05,3078103.9389828225,6519.5807243952995,3354.5561799761085,2727.691902204556,40012.60785317946,0.4754155154837616
2020-05-06,3076375.6397195836,6540.531818670787,3378.382331767466,2756.7299777504286,41667.08321913525,0.4692855394822639
2020-05-07,3074658.9652827615,6546.670365296631,3395.2153296930182,2780.528794869964,43336.978244502134,0.4628795045966211
2020-05-08,3072958.641672027,6537.245451433801,3404.6723319202674,2798.7891888286645,45018.999852759036,0.4561673977610276
2020-05-09,3071279.527127995,6511.560274495222,3406.374953258855,2811.20599440737,46709.67017428197,0.44912363184981785
2020-05-10,3069626.564090954,6469.0022880702945,3399.961850778362,2817.4744571145757,48405.32544736005,0.44172809546131314
2020-05-11,3068004.718502431,6409.077615201117,3385.1029984256165,2817.2982844167755,50102.119980116775,0.43396748434093546
2020-05-12,3066418.906235804,6331.448784748032,3361.5158899049993,2810.3993311078543,51796.03609731257,0.42583890280622383
2020-05-13,3064873.905005025,6235.976544554017,3328.9836208336196,2796.529065104976,53482.900873152044,0.4173536982135265
2020-05-14,3063374.2536905687,6122.763006729456,3287.3747063663354,2775.48193504351,55158.41047494076,0.40854015817441247
2020-05-15,3061924.150914116,5992.185623910298,3236.662819546568,2747.110349211587,56818.16289134634,0.3994424631799029
2020-05-16,3060527.365908697,5844.912661086234,3176.9434969369104,2711.340095018713,58457.69945874851,0.39011540009756496
2020-05-17,3059187.1616462865,5681.904611016925,3108.445582846931,2668.184399555709,60072.55480885231,0.38062344074440496
2020-05-18,3057906.223951014,5504.40982026323,3031.537975205415,2617.7553354405413,61658.313973737815,0.37104082243499525
2020-05-19,3056686.59789753,5313.954337594509,2946.7324786421104,2560.2721249793863,63210.6749771136,0.36145129126989467
2020-05-20,3055529.6372644547,5112.322177822778,2854.6827273967956,2496.0661827879053,64725.51514598078,0.35194684453860803
2020-05-21,3054435.9720675363,4901.523654887097,2756.178593300746,2425.5826889694536,66198.95925664164,0.3426260632581802
2020-05-22,3053405.492802237,4683.756108754487,2652.135550934583,2349.3784051967564,67627.44737852101,0.3335945549411029
2020-05-23,3052437.3610786977,4461.350157953751,2543.5787048095735,2268.115586426688,69007.80003741826,0.32495824067201645
2020-05-24,3051530.0596824135,4236.694001764225,2431.6191616413676,2182.551388667144,70337.27806218863,0.3168163908016101
2020-05-25,3050681.472503966,4012.149604152047,2317.4225226632157,2093.521911924791,71613.63393081345,0.3092606102644195
2020-05-26,3049888.977752748,3789.977004852304,2202.1729987916024,2001.9210738964111,72835.15125657787,0.3023758908862863
2020-05-27,3049149.5447085276,3572.2732906530837,2087.0374523009664,1908.6758643039511,74000.6697723294,0.2962429864645417
2020-05-28,3048459.830518688,3360.9257636813645,1973.1325001846799,1814.7201409013137,75109.59447000542,0.2909395410624379
2020-05-29,3047816.273718559,3157.578997961857,1861.4963378021907,1720.9689412937257,76161.88889515225,0.28654109300349795
2020-05-30,3047215.178375454,2963.6177208279655,1753.0667139620812,1628.2949782165024,77158.053658977,0.28312271981460757
2020-05-31,3046652.7871238943,2780.16326132952,1648.6657496122432,1537.508707344065,78099.09207550055,0.2807579772974088
2020-06-01,3046125.3431149763,2608.080535682684,1548.9912528909535,1449.3427915671969,78986.46545472962,0.27951751135819114
2020-06-02,3045629.1403314895,2447.9934796439293,1454.6140351232193,1364.4412615005397,79822.04088505163,0.2794678024931029
2020-06-03,3045160.561745646,2300.3074141529696,1365.980454645007,1283.3533109025436,80608.03437639425,0.2806717677629145
2020-06-04,3044716.1044257362,2165.237488237533,1283.4194985589438,1206.5314392230134,81346.95209133481,0.28318871326888
2020-06-05,3044292.392343382,2042.8411459686267,1207.1536222314246,1134.333519635919,82041.53216719445,0.28707381379376745
2020-06-06,3043886.17765734,1933.0531027668505,1137.3124344300716,1067.0282461226752,82694.68932647906,0.2923791336731382
2020-06-07,3043494.330979749,1835.7219043131345,1073.9484332926202,1004.803355424143,83309.46409599838,0.29915505659372355
2020-06-08,3043113.820934965,1750.6474636156445,1017.0542164419408,947.7760609213908,83888.97806864415,0.307453427588319
2020-06-09,3042741.684710088,1677.617746930821,966.5806707202964,896.0052307201244,84436.39629947719,0.31732901440270517
2020-06-10,3042374.9911297807,1616.4435537274517,922.4553693537447,849.5047992891555,84954.89764215614,0.3288412855881225
2020-06-11,3042010.7995336275,1566.9888785680296,884.6004682005641,808.257844732501,85447.65353422608,0.34204859989820596
2020-06-12,3041646.1233222587,1529.1900581599339,852.9486120209186,772.2306097355126,85917.81537179621,0.35698980978015654
2020-06-13,3041277.9053968242,1503.0600995779057,827.4547569135558,741.3853827530592,86368.51003200078,0.37365933033788545
2020-06-14,3040903.007022282,1488.6803434570886,808.1026373614478,715.69102465477,86802.84234657243,0.3919813475205286
2020-06-15,3040518.2095675855,1486.1828386958348,794.9057858769683,695.130247525183,87223.9026826962,0.4117861800590691
2020-06-16,3040120.2355724196,1495.7196804878365,787.9030844047769,679.7031653302255,87634.77742769087,0.43277927805631095
2020-06-17,3039705.787229498,1517.4246133870497,787.1483904386264,669.4266280566363,88038.55993959759,0.45454161776485125
2020-06-18,3039271.591490818,1551.377767162596,792.6966011679161,664.3294578873467,88438.35940323412,0.47654925098093937
2020-06-19,3038814.4527259,1597.5716787675315,804.5882555639877,664.4445550416913,88837.30543977232,0.4981998102372693
2020-06-20,3038331.3155500363,1655.876179049037,822.8330737078941,669.7988161672763,89238.5469326567,0.5188550939488563
2020-06-21,3037819.337642599,1726.0025806774286,847.3926542675597,680.4014921259177,89645.2439649326,0.5378912401414229
2020-06-22,3037275.9774907497,1807.4628196117358,878.1621611633067,696.231357701668,90060.55207456682,0.5547392942287359
2020-06-23,3036699.1024055295,1899.5201504751203,914.9498366513977,717.2225963093362,90487.59814159482,0.5689158921773694
2020-06-24,3036087.1109032826,2001.1388719707663,957.4540268675249,743.2490165553194,90929.44703866173,0.5800506449025634
2020-06-25,3035439.050564562,2110.9501952996006,1005.2402453110843,774.1068061660319,91389.05809261945,0.5879123217049823
2020-06-26,3034754.704267975,2227.254493134253,1057.7238346231497,809.4974543314304,91869.23103237314,0.5924323162127346
2020-06-27,3034034.621382853,2348.071882045575,1114.1651491989296,849.0140887083606,92372.54271504728,0.5937150345412202
2020-06-28,3033280.0847537518,2471.2375504908036,1173.6823349986605,892.1352657733225,92901.27826481749,0.5920243858595922
2020-06-29,3032493.0119393733,2594.532751412599,1235.2830626665104,938.2295455691823,93457.3625549289,0.587759942541717
2020-06-30,3031675.810604538,2715.8246311781945,1297.9129750895165,986.5726347721902,94042.29940557858,0.5814020838920898
2020-07-01,3030831.2297529317,2833.1760275261545,1360.5117036013485,1036.3760233080511,94657.12589487113,0.573445630939255
2020-07-02,3029962.2336803237,2944.909594000321,1422.06449169841,1086.822479921463,95302.38714908143,0.5643510584004214
2020-07-03,3029071.9054362765,3049.631510872749,1481.641735594896,1137.1022338462913,95978.13343261823,0.5545155922721924
2020-07-04,3028163.370639986,3146.2325716547666,1538.4245730973066,1186.4447540643032,96683.93786681183,0.5442727337033594
2020-07-05,3027239.727257254,3233.8841007261626,1591.71974699003,1234.1437056745087,97418.93090837625,0.5339022267005549
2020-07-06,3026303.968285056,3312.041336344874,1640.9684026038137,1279.5751893438844,98181.84724382104,0.5236499316045596
2020-07-07,3025358.89578643,3380.45318103221,1685.7532694306947,1322.211032166658,98971.08152898084,0.5137365023205224
2020-07-08,3024407.0361691266,3439.168409584773,1725.8047914596614,1361.6288982947267,99784.75065841629,0.5043599409246087
2020-07-09,3023450.559971447,3488.5363729796095,1761.005584754353,1397.5200551073262,100620.76104898074,0.49569840922789127
2020-07-10,3022491.216329447,3529.1941704984006,1791.392110776491,1429.6949979835167,101476.8796946582,0.4879027746246764
2020-07-11,3021530.2940666946,3562.033396410722,1817.1506349923418,1458.086213164979,102350.8075997061,0.4810895958118603
2020-07-12,3020568.6068981653,3588.1537033949794,1838.606062319312,1482.746814555425,103240.25353232227,0.47534082141430833
2020-07-13,3019606.4980546176,3608.810269572641,1856.204624019158,1503.844415119454,104143.00536884878,0.47070456229738444
2020-07-14,3018643.8582661776,3625.3621999260945,1870.4921421414072,1521.6504672624462,105056.99610222729,0.46720190499563957
2020-07-15,3017680.145503672,3639.2316940970827,1882.0910905736123,1536.526174339558,105980.36196245547,0.46483779603423114
2020-07-16,3016714.4039730737,3651.8732498178206,1891.6794592238791,1548.9067760479438,106911.49107127146,0.4636075170618239
2020-07-17,3015745.284559608,3664.7487217724397,1899.9722388211674,1559.2857745492363,107849.06223109053,0.4635013748533251
2020-07-18,3014771.068977766,3679.3046956295047,1907.7054707589584,1568.2000628074777,108792.07422400871,0.46450343731450616
2020-07-19,3013789.703250693,3696.9467509630495,1915.6216499530874,1576.2162553202768,109739.86633559351,0.46658582910948765
2020-07-20,3012798.8436717703,3719.0086497140464,1924.4549993553837,1583.9178537067241,110692.13076367666,0.4697009934862742
2020-07-21,3011795.9182220125,3746.714932636216,1934.915502613597,1591.8925754819716,111648.91724024102,0.4737720776131769
2020-07-22,3010778.2061301945,3781.136307799524,1947.670548239923,1600.7190380430327,112610.62975154941,0.478682716615601
2020-07-23,3009742.92913869,3823.145430848908,1963.3242897591765,1610.9521184019143,113578.0147726712,0.4842764972303486
2020-07-24,3008687.3459999496,3873.380045338071,1982.3968590559307,1623.1071263270462,114552.14024584385,0.4903601216178626
2020-07-25,3007608.8479954414,3932.2137352132654,2005.3050252819858,1637.6435766688132,115534.36488020053,0.4967093579934469
2020-07-26,3006505.051856931,3999.7358358588567,2032.345383228501,1654.9494307352206,116526.29789419034,0.5030806347306832
2020-07-27,3005373.8872459717,4075.7406636300084,2063.681186820526,1675.3267159513582,117529.74985758559,0.509224184134338
2020-07-28,3004213.681230383,4159.721693074432,2099.3328729091404,1698.9792939858341,118546.67574895833,0.5148956515299443
2020-07-29,3003023.2377831363,4250.87152908527,2139.1717226298088,1726.0030743866362,119579.11161424681,0.5198695663595955
2020-07-30,3001801.904176944,4348.093461616021,2182.9173141907286,1756.3788510697884,120629.10633437264,0.5239533872985851
2020-07-31,3000549.6219937466,4450.023763133658,2230.139720197294,1789.968218236268,121698.65021050093,0.5269951402346176
2020-08-01,2999266.9618626945,4555.063237058889,2280.26644171247,1826.512970282644,122789.6023495172,0.528888219551629
2020-08-02,2997955.1365224957,4661.420734394922,2332.594355700764,1865.6382368005695,123903.61900983045,0.5295745480339943
2020-08-03,2996615.9857629174,4767.17152549673,2386.3075319969553,1906.859693316166,125042.08526893308,0.5290459803607966
2020-08-04,2995251.9314040667,4870.328473585309,2440.5016503169886,1949.5953039040887,126206.05271821537,0.527339923788658
2020-08-05,2993865.907296578,4968.918648008728,2494.214233650056,1993.1817636870169,127396.18617866014,0.5245309910297918
2020-08-06,2992461.2706317073,5061.058366349873,2546.4589274869018,2036.8952835376292,128612.72228733635,0.520722564729904
2020-08-07,2991041.7006598143,5145.021344878641,2596.2615718122097,2079.9758655593046,129855.4422806916,0.5160388834115143
2020-08-08,2989611.0922073494,5219.294885150085,2642.695483395203,2121.6537697753024,131123.66053824616,0.5106174447295081
2020-08-09,2988173.4497827482,5282.622065429728,2684.913269832034,2161.1764880712453,132416.22949145793,0.5046020689427188
2020-08-10,2986732.7849600282,5334.031289443263,2722.173375466056,2197.8343872552873,133731.56049630258,0.498137288615951
2020-08-11,2985293.0196068096,5372.853978372588,2753.8608110872556,2230.983531428404,135067.65935434616,0.49136550762865067
2020-08-12,2983857.8970573014,5398.73131497684,2779.5019984388514,2260.0648056138866,136422.17442082748,0.48442560286162073
2020-08-13,2982431.159320036,5411.376027526146,2798.7549260614283,2284.6167815093104,137792.45445781155,0.47727764182187715
2020-08-14,2981016.530356639,5410.5881810705005,2811.35851614054,2304.268548467024,139175.60757061397,0.47003382469804333
2020-08-15,2979617.352643134,5396.549491538137,2817.157647452589,2318.732372010869,140568.55262236108,0.4628578197280557
2020-08-16,2978236.475898867,5369.826389799975,2816.1465568006447,2327.8150196535844,141968.07264859672,0.4558900696923395
2020-08-17,2976876.29641571,5331.2459028587,2808.475667879647,2331.4329091681034,143370.87765183646,0.449229352518248
2020-08-18,2975538.467525449,5282.104059252577,2794.455963290427,2329.619911555357,144773.6737167017,0.4431593722598863
2020-08-19,2974223.8815374044,5224.049834628052,2774.600012234212,2322.544390438718,146173.238777902,0.4377476250514698
2020-08-20,2972932.9673607564,5158.754421642437,2749.566015912162,2310.513892295154,147566.50710146545,0.4330445102342672
2020-08-21,2971665.702418984,5087.896803089688,2720.1023705498674,2293.9551176137666,148950.64726388437,0.429087297617886
2020-08-22,2970421.6292949733,5013.148456748246,2687.010996967455,2273.387082209002,150323.12431851178,0.4259069755630228
2020-08-23,2969199.872993836,4936.160674574938,2651.122574176549,2249.3956617260824,151681.7454411867,0.42353168865745777
2020-08-24,2967999.169428877,4858.544413155276,2613.278497482208,2222.6119016993557,153024.69132667454,0.4219837115163746
2020-08-25,2966817.9034885587,4781.846444333558,2574.315278282187,2193.693693555535,154350.53589848834,0.4212805521030918
2020-08-26,2965654.142603738,4707.535053441473,2535.0511872769225,2163.3100229590127,155658.25615704313,0.42143875284141735
2020-08-27,2964505.665258998,4636.993323207484,2496.2762215786547,2132.1277632624074,156947.23362697376,0.42247249645235746
2020-08-28,2963369.988093064,4571.515286430794,2458.7448980274494,2100.801077649528,158217.24891165813,0.42439276951178545
2020-08-29,2962244.388799782,4512.3067448033025,2423.1715545915504,2069.963273385182,159468.47082115992,0.4272070488872936
2020-08-30,2961125.9275046866,4460.48711673303,2390.227897912354,2040.2209531189667,160701.44145016448,0.43091580915980787
2020-08-31,2960011.472743184,4417.08672347732,2360.5414456748304,2012.1500132368865,161917.05847245303,0.4355059163095802
2020-09-01,2958897.7349061784,4383.03811218171,2334.6933435261294,1986.292641010504,163116.55555644634,0.440944110408738
2020-09-02,2957781.3037452307,4359.166070043525,2313.214867525153,1963.1544503267526,164301.48120786628,0.4471751460330251
2020-09-03,2956658.6832441217,4346.182383671612,2296.5836855644816,1943.2014563728917,165473.67590431328,0.45412260365524315
2020-09-04,2955526.321906167,4344.6857826693695,2285.221164812869,1926.8572025812216,166635.24743169697,0.4616907720857259
2020-09-05,2954380.6387970694,4355.165508112629,2279.4912583324103,1914.500528725348,167788.54462000728,0.46976826014423045
2020-09-06,2953218.041745044,4378.0110119555275,2279.70122596632,1906.4643470450433,168936.1299499807,0.4782372624069681
2020-09-07,2952034.9433729723,4413.521008381668,2286.1042766954606,1903.0357139308262,170080.75175476033,0.48697499953074436
2020-09-08,2950827.7861988307,4461.902314212228,2298.901988856393,1904.4569103619162,171225.31677589766,0.49585411824850956
2020-09-09,2949593.0718549867,4523.265392919356,2318.245109588742,1910.926675102973,172372.86336744446,0.5047486813429343
