date,S,E,I1,I2,R,beta
2020-02-18,4588192.947382365,66.40060379042397,15.830777395341011,0.0,0.0,5.000089612012975
2020-02-19,4588181.680592104,73.49794227455094,17.28362638401412,2.036417438354433,0.681055932796146,4.452900350638906
2020-02-20,4588161.0347383255,86.49494263826723,21.166811922503964,4.439204925894527,2.045228026636959,3.930430450229845
2020-02-21,4588132.447800726,103.79210797779295,26.887306862656065,7.602512719579079,4.453014003115134,3.487990835929411
2020-02-22,4588093.567644967,126.68998687674662,34.51126109413337,11.889686486140784,8.5266624619677,3.1313201694072834
2020-02-23,4588042.441988117,155.94043081261705,44.382839435366606,17.45895678453287,14.96424970131946,2.8314521940405633
2020-02-24,4587969.778788056,196.53544184525845,58.34221494349837,25.283129866370345,25.25345953464719,2.513157440188521
2020-02-25,4587854.685575295,259.7726198909249,80.20637168155515,37.5983201147974,42.93727084566571,2.1242895834387703
2020-02-26,4587693.692369704,345.86721822067955,110.40473659415585,54.700192681992235,70.54537864081973,1.8471905566955527
2020-02-27,4587471.497699379,461.91974365332237,151.49819167514235,78.15118192048719,112.15621146201691,1.6320651291057804
2020-02-28,4587184.269202357,608.5265589741115,203.8209144295224,108.20526828943184,170.4175756997318,1.5199792463314843
2020-02-29,4586815.253530402,793.3964103980057,270.1388409568704,146.53304595342811,249.93825789711644,1.4517980314019043
2020-03-01,4586344.1968590235,1025.5361193263086,353.8739555388254,195.19381650283628,356.48476960646565,1.406297063793176
2020-03-02,4585746.915152205,1315.3263029098207,459.1253879385105,256.70677998979346,497.24304159393523,1.373219828347996
2020-03-03,4584994.951585302,1674.5014101165684,590.6880819353239,334.098114040299,681.1151762433236,1.3468899322202612
2020-03-04,4584055.389492582,2115.996012298532,754.0458103755277,430.92992268385217,919.038186009921,1.3238594325002575
2020-03-05,4582890.898698595,2653.620072447769,955.3163662009908,551.3055089289984,1224.3118481756303,1.3018763098370743
2020-03-06,4581460.089732932,3301.5380811373902,1201.1286633032923,699.8399480995749,1612.9175812151948,1.2794065850046732
2020-03-07,4579718.246723547,4073.5358297544317,1498.4154572292857,881.5832026545685,2103.8028279111672,1.255403889732994
2020-03-08,4577618.503521965,4982.068311843169,1854.1091536380438,1101.8835135973509,2719.0977043021257,1.2291878947560073
2020-03-09,4575113.5028928425,6037.105811798125,2274.7342318825727,1366.18082819243,3484.223747777366,1.2003736066719768
2020-03-10,4572157.533923253,7244.830502691527,2765.9000838284296,1679.724126971674,4427.849641089685,1.1688196860336693
2020-03-11,4568709.067071519,8606.290565446676,3331.7136087302306,2047.2134672732807,5581.647349323285,1.134586229253423
2020-03-12,4564733.523148228,10116.166152597192,3974.1518794671792,2472.378330834138,6979.806173053299,1.0978912042290516
2020-03-13,4560205.9933450315,11761.871889192398,4692.458360285177,2957.5179389938066,8658.273808359912,1.0590957160970105
2020-03-14,4555113.581898247,13523.204055826629,5482.649772944016,3503.046261087018,10653.714842754005,1.0186730453148418
2020-03-15,4549457.0413076375,15372.697615913017,6337.221297052408,4107.097033910252,13002.208615974389,0.9771905805091037
2020-03-16,4543251.365201603,17276.819315048182,7245.137484678935,4765.251270365456,15737.74524744201,0.9352906101044045
2020-03-17,4536525.235338042,19197.88097067908,8192.168036104506,5470.449960282784,18890.61725578973,0.8936305881909081
2020-03-18,4529319.430465562,21096.407512126818,9161.554441658662,6213.133623174231,22485.836786088756,0.852831047320709
2020-03-19,4521684.341145504,22933.727393866367,10134.944654373729,6981.615115712078,26541.723128359477,0.813451868024002
2020-03-20,4513676.995491233,24674.371857768692,11093.493332006168,7762.658553449656,31068.798573447475,0.7759442559484309
2020-03-21,4505358.06334862,26287.92805887361,12018.970963698095,8542.199984265433,36069.10118754152,0.740636994604712
2020-03-22,4496789.0636957595,27750.28285474249,12894.750773786143,9306.121731272595,41535.97216996837,0.7077502537877156
2020-03-23,4488029.928214029,29044.267468547725,13706.593259253748,10040.996112922412,47454.31909422737,0.6774139892855932
2020-03-24,4479136.991936512,30159.784295628862,14443.189006048055,10734.732261928546,53801.308547525376,0.6496929914268058
2020-03-25,4470161.496382374,31093.458067602372,15096.454820434024,11377.08345335601,60547.408076835214,0.624593943511208
2020-03-26,4461148.71756085,31847.825219541846,15661.58103814058,11959.98998219588,67657.67834191311,0.6020693970629268
2020-03-27,4452137.674474592,32430.21163552399,16136.846023448603,12477.744586244291,75093.20672030885,0.5820237725849242
2020-03-28,4443161.320998566,32851.45341249884,16523.245545742295,12926.984710324492,82812.57285096734,0.5643162224885622
2020-03-29,4434247.111322541,33124.594249217065,16823.99228247659,13306.532522931675,90773.24618563222,0.5487671986556444
2020-03-30,4425417.768461384,33263.714184224795,17043.95031892767,13617.115727673177,98932.83341454963,0.5351669406307562
2020-03-31,4416692.123157372,33282.97173706405,17189.070767568224,13861.011640047818,107250.11776558407,0.5232847603560487
