date,S,E,I1,I2,R,beta
2020-03-05,1353475.4616992879,52.619592285052796,10.672787837241664,0.0,0.0,5.000233814287416
2020-03-06,1353464.7142419808,59.294162478625196,13.20843534350789,1.2970662163472624,0.24069922341381958,4.460868760433447
2020-03-07,1353460.1535071325,61.646351451671315,14.743827269666069,1.6993492019241825,0.5115881876728833,4.42076966379362
2020-03-08,1353455.5186712076,64.46183476403567,15.658712736238943,2.2096378684282794,0.9058019524400558,4.304566077141908
2020-03-09,1353440.5280348784,73.70382671977585,18.67037942940932,3.928576844199673,1.9242620522601106,3.820628316050641
2020-03-10,1353421.656181457,84.76341488696431,22.442339815220482,6.1670406495638685,3.7265511490618883,3.4149208971822786
2020-03-11,1353394.1700207042,99.88808608225789,28.099154195018805,9.620193839266527,6.97871947863701,2.900467576787163
2020-03-12,1353355.0688915942,120.09356395471215,36.16095302890694,14.66027712119456,12.773260151027223,2.370587222404921
2020-03-13,1353310.848322313,140.77027319311983,45.229091354122914,20.534052205334795,21.375907841988433,2.0319960134993282
2020-03-14,1353250.5378544591,167.55961564278883,57.21060795718453,28.56395659331469,34.886437445168234,1.6253069732867582
2020-03-15,1353174.248619164,199.06855500743094,71.88124067738794,38.69038147110759,54.870543577750446,1.283566915643085
2020-03-16,1353083.9044416593,233.53049008516226,88.41101949182101,50.53253299036888,82.3816845987445,1.0510664659146702
2020-03-17,1352981.7234740278,269.4838773628457,106.04877227123474,63.569298338513924,117.93550967903609,0.9039959856880877
2020-03-18,1352869.376650783,306.10354263451853,124.22780983762689,77.35920265895784,161.69442370193758,0.8189317237180778
2020-03-19,1352746.5052088995,343.5530672904347,142.89018385367888,91.76540659755142,214.04842241061579,0.7624122733296177
2020-03-20,1352612.8363662378,381.8809020887476,162.02267663851657,106.6977770918032,275.3251929212374,0.7216036918487225
2020-03-21,1352468.1994303556,421.03338265478425,181.61640097743026,122.10004131606124,345.81423832005845,0.6901483647157601
2020-03-22,1352312.5417080456,460.86472419440275,201.6448021666885,137.9320455106001,425.7807179537055,0.6645047790235942
2020-03-23,1352145.9439547975,501.14498339420334,222.0522582052201,154.1543442766939,515.4688515926686,0.6425587377029721
2020-03-24,1351968.6353894696,541.5664712125197,242.74871157617847,170.7168271867987,615.0972372203137,0.6229867164188763
2020-03-25,1351781.0079790987,581.749305616224,263.607655945611,187.55110050972053,724.8486477656634,0.6049295216904876
2020-03-26,1351583.6290557391,621.2471577491457,284.4660764840585,204.56581869308434,844.8563983315703,0.587809387604529
2020-03-27,1351377.2510852183,659.5542053444806,305.1257157700622,221.64420865941972,975.1888356583123,0.5712223552239404
2020-03-28,1351162.8166902254,696.1146850451746,325.35555450772455,238.64326464828198,1115.8330892118743,0.5548758671525276
2020-03-29,1350941.4571429456,730.3359817511732,344.89570172554113,255.39436389613948,1266.678985382326,0.5385532511364383
2020-03-30,1350714.4833054189,761.605338868647,363.4628798745529,271.7052391154569,1427.5039415193814,0.5220953143356383
2020-03-31,1350483.368222222,789.3100020208882,380.75765043682446,287.3633296409255,1597.9596550253534,0.5053932602184853
2020-04-01,1350249.720321214,812.8608955247191,396.4734378142274,302.1405506144488,1777.5614353021865,0.48838818788161664
2020-04-02,1350015.2476823109,831.7185558883887,410.3072735181391,315.7995032260194,1965.6810486288832,0.47106745881379186
2020-04-03,1349781.7149841685,845.419416802255,421.97180052296466,328.10103905029,2161.543918747097,0.4534616735067927
2020-04-04,1349550.8935934135,853.6019938207558,431.2080280453133,338.81294382623423,2364.2314150652473,0.43564350288231335
2020-04-05,1349324.505131741,856.0326992388262,437.79848741980817,347.7194550768268,2572.6887974909055,0.4177278021852661
2020-04-06,1349104.1616403342,852.6285513298427,441.58030447911045,354.63131694774984,2785.7392142601125,0.39986605521824375
2020-04-07,1348891.3068459816,843.4735995449271,442.45715092847223,359.39591122495153,3002.103925805784,0.38224118288768855
2020-04-08,1348687.1623162557,828.8272033259085,440.40898564679895,361.90680741544185,3220.428575752293,0.36506150118339764
2020-04-09,1348492.6843124856,809.120883149482,435.4984371107188,362.1119739862616,3439.314887545319,0.3485487280145224
2020-04-10,1348308.5369409092,784.941587649782,427.8724193976291,360.0197555599298,3657.356646265785,0.3329245545610517
2020-04-11,1348135.0829573441,757.0034795860979,417.75815583475355,355.7017161708841,3873.178234754383,0.3184021973925954
2020-04-12,1347972.3922634474,726.1108486866228,405.45375163941026,349.29177731956213,4085.4735077683176,0.30517678170756696
2020-04-13,1347820.2665263698,693.1156685215365,391.31395943865493,340.98148530145596,4293.042578355105,0.29342142336444876
2020-04-14,1347678.2751296926,658.8752299091827,375.73257234607365,331.0116826317465,4494.824166908987,0.28328786332722383
2020-04-15,1347545.7967945035,624.2147669237722,359.1234002278077,319.6613430148187,4689.921543242675,0.2749116117871231
2020-04-16,1347422.0619477085,589.898154201971,341.9018634039575,307.2347066136353,4877.620734168351,0.2684184357268408
2020-04-17,1347306.192253902,556.6078958620641,324.46883052096285,294.04799094456126,5057.400457508742,0.26393139449638187
2020-04-18,1347197.2350276283,524.9341922612102,307.1977794186501,280.416855106158,5228.934022140956,0.2615752601034767
2020-04-19,1347094.1913869057,495.3719659224572,290.42573976094565,266.6455315514801,5392.084078482179,0.2614782466188344
2020-04-20,1346996.0376532604,468.32442807606066,274.4480224490967,253.0182097263125,5546.891542952115,0.26377060863213
2020-04-21,1346901.739499853,444.1121343967896,259.5164568084227,239.79294827494002,5693.5602486160315,0.2685840847051733
2020-04-22,1346810.2589486989,422.98613655241525,245.84075990976706,227.19816929956804,5832.438935990449,0.2760462669435717
2020-04-23,1346720.5558045292,405.14287553775483,233.59238845619637,215.43159029449836,5964.002144177191,0.28626704641095047
2020-04-24,1346631.5854335658,390.7387509286045,222.91000259212277,204.66123759530734,6088.831386696117,0.29931633242748085
2020-04-25,1346542.2944031975,379.90314010917666,213.9056683946172,195.0280313683996,6207.597705403151,0.3151980704717087
2020-04-26,1346451.6143680895,372.7499446847716,206.67114602808766,186.64939171033532,6321.046343809044,0.3338287573555553
2020-04-27,1346358.4555032325,369.38679492734894,201.28388234423298,179.62339595979014,6429.983958777478,0.3550100579198433
2020-04-28,1346261.70308252,369.91928339711694,197.81203728548732,174.0330354786132,6535.268522993453,0.3783960870230835
