date,S,E,I1,I2,R,beta
2020-02-28,6142243.637907052,84.05606522639135,19.77353061838112,0.0,0.0,5.000084521079943
2020-02-29,6142203.510386703,110.8556167222964,27.232707602031592,4.427201414250856,1.4426231990597516,3.9380815808171055
2020-03-01,6142161.2218904095,135.7603066150226,35.9320333770392,9.69292955289887,4.862478574872793,3.288760792835246
2020-03-02,6142105.097536088,166.38540605688615,47.63605304042147,16.932322052553555,11.419702933270736,2.6957294869599657
2020-03-03,6142047.626373762,194.65344892144677,59.58319247003834,24.542122506531403,21.06719655749391,2.4075527638646372
2020-03-04,6141946.877926425,243.58482207874138,79.78823242120568,37.88668924196086,39.33702902869652,1.7607960234019553
2020-03-05,6141819.257887853,301.1776039191722,104.79252844785854,54.47145717357986,67.77828785249413,1.3856430048653448
2020-03-06,6141666.558711565,366.2295787176889,133.21293008017213,73.75594956652749,107.72448100793787,1.1880662697282234
2020-03-07,6141486.361694364,440.30894788418806,164.9446028724872,95.50173444301657,160.3697149181896,1.0888334793539405
2020-03-08,6141272.729153965,526.7986121894476,200.84444625124578,119.94713294325712,227.17399305196508,1.0410804885091902
2020-03-09,6141017.527931148,630.004431323069,242.3216191801813,147.69103973765303,309.95707080806307,1.0223849802696077
2020-03-10,6140710.461590201,755.1446013311113,291.2231400277819,179.65810767919996,411.0261075078629,1.0220250567132192
2020-03-11,6140338.491889135,908.6492769360038,349.8836793697313,217.1214273646738,533.3821346702231,1.033921466494961
2020-03-12,6139885.179887288,1098.460594846136,421.21867079321805,261.74302106111435,680.9453415880715,1.0540341870320782
2020-03-13,6139329.999497743,1334.2861380262061,508.83867973165206,315.63525498075785,858.812274393001,1.079169251329621
2020-03-14,6138647.701096366,1627.748466505664,617.160250787714,381.4365172842277,1073.5561390305077,1.106427150153958
2020-03-15,6137807.807400395,1992.3827693354121,751.4872451836278,462.38833576021943,1333.5747564036658,1.1330506897944594
2020-03-16,6136774.34813462,2443.423465187239,918.0364977803071,562.3976026755282,1649.4813163382737,1.1564846009262053
2020-03-17,6135505.99281307,2997.287835745835,1123.87585894565,686.0645155473147,2034.5218332820727,1.174493495391703
2020-03-18,6133956.782525611,3670.6498476103793,1376.7341698296177,838.6522985690152,2504.9896385394054,1.1852738196757462
2020-03-19,6132077.677961426,4479.008205834282,1684.637307313912,1025.9696041995326,3080.5905998293474,1.187517775134619
2020-03-20,6129819.082332134,5434.728711326868,2055.329423024977,1254.1333304604325,3784.693507202507,1.180439691698439
2020-03-21,6127134.354357793,6544.672659315267,2495.4650367956615,1529.183713549705,4644.381256009505,1.163772884633424
2020-03-22,6123984.09707474,7807.700781391574,3009.6055053814343,1856.5394306004157,5690.206395921153,1.1377589063677342
2020-03-23,6120340.57705367,9212.658368256363,3599.1335123534045,2240.3121697240595,6955.557873091067,1.1032003673454949
2020-03-24,6116191.402923457,10737.491098236536,4261.297728513876,2682.55258297616,8475.576473053321,1.0614364974071828
2020-03-25,6111541.608458675,12349.979834341942,4988.62903511018,3182.550449041508,10285.62123924109,1.0142756037282636
2020-03-26,6106413.5821608305,14010.193631977227,5768.943808401961,3736.3416109812733,12419.377442463927,0.9637855988426353
2020-03-27,6100844.925751456,15674.177676203144,6586.014331127618,4336.560741549443,14906.787646197246,0.9120541223492359
2020-03-28,6094884.741808595,17298.147097506575,7420.817569824357,4972.713401861071,17772.049871260384,0.8609782605940437
2020-03-29,6088589.126037346,18842.384327072872,8253.148832934035,5631.851016803982,21031.93945157942,0.8120875758692269
2020-03-30,6082016.636726432,20274.241883243423,9063.314381283977,6299.545490677436,24694.669408303904,0.766484915584149
2020-03-31,6075224.239931244,21570.02979940338,9833.65159781307,6961.008143231814,28759.41838424032,0.724883139413118
2020-04-01,6068264.025405892,22715.79357971294,10549.707993911876,7602.193378421071,33216.553627473266,0.6876793688191201
2020-04-02,6061180.837050901,23707.115824730663,11200.996629906294,8210.75607785242,38048.48561522415,0.6550377576061094
2020-04-03,6054010.8158881,24548.171526584774,11781.317242402014,8776.774931414886,43231.02487963177,0.6269601608974993
2020-04-04,6046780.81779314,25250.239147902957,12288.686319023102,9293.199939098538,48735.075215607714,0.6033270475716592
2020-04-05,6039508.688401781,25829.809304519855,12724.933378497826,9756.018425832759,54528.48745620135,0.5839188964210453
2020-04-06,6032204.304944245,26306.465087775057,13095.030438895445,10164.157061205387,60577.905582151005,0.5684218921480183
2020-04-07,6024871.204027693,26700.745181043534,13406.237747808866,10519.155517430647,66850.45629721707,0.5564326047162533
2020-04-08,6017508.581292006,27032.180170300107,13667.158283526634,10824.663443032097,73315.16155256728,0.5474674839846863
2020-04-09,6010113.361628506,27317.729144263205,13886.797343012075,11085.823352079493,79943.98936065988,0.5409903813393904
2020-04-10,6002681.948624914,27570.865659952953,14073.739281594053,11308.611848179158,86712.50066385066,0.5364582130838195
2020-04-11,5995211.511308764,27801.276438264864,14235.53538988805,11499.218235698661,93600.09765683702,0.533348400026806
2020-04-12,5987700.855677165,28014.98941354037,14378.325177865934,11663.523796021324,100589.92389160508,0.5311849364655036
2020-04-13,5980150.9136444535,28214.802033234457,14506.673974159536,11806.716128914517,107668.4952985131,0.5295576164025967
2020-04-14,5972564.9742057035,28400.829415752058,14623.583876812867,11933.047246898648,114825.15195336341,0.5281251884934736
2020-04-15,5964948.779088848,28571.04123872915,14730.61572856197,12045.721000722957,122051.41621962801,0.5266134898796005
2020-04-16,5957310.521895306,28721.75786333511,14828.070737456277,12146.881688404283,129340.3273024731,0.5248113682341725
2020-04-17,5949660.736031883,28848.12994953906,14915.200999302662,12237.674506088253,136685.80276641218,0.5225681502389581
2020-04-18,5942012.0562456995,28944.61757111583,14990.437054455373,12318.355030458726,144082.06086934754,0.5197897608492461
2020-04-19,5934378.83260026,29005.48819229283,15051.627396366663,12388.432089282225,151523.1262592341,0.5164385886192484
2020-04-20,5926776.545759612,29025.373186030894,15096.29454466071,12446.83521551299,159002.4346791378,0.5125360557984678
2020-04-21,5919221.060898472,28999.83341340404,15121.910283861622,12492.103225491795,166512.549666599,0.5081555433609948
2020-04-22,5911727.868197448,28925.800172124516,15126.170100286578,12522.588282336304,174045.00256165452,0.50340524668455
2020-04-23,5904311.417358881,28801.83051046529,15107.2300385363,12536.660993416646,181590.26065354072,0.4984142414917691
2020-04-24,5896984.59361091,28628.180391597096,15063.88071255084,12532.897336409276,189137.8169881887,0.4933186739657728
2020-04-25,5889758.382069574,28406.69835306368,14995.644330630252,12510.230063484061,196676.38382307504,0.48824920649843684
2020-04-26,5882641.688942089,28140.61098273775,14902.794408231124,12468.052322627023,204194.16254940286,0.4833269512217975
2020-04-27,5875641.269728379,27834.26576666996,14786.31674254639,12406.270948066538,211679.1583233943,0.47866090050961324
2020-04-28,5868761.758548444,27492.84598180114,14647.827941755326,12325.314710720813,219119.50902666897,0.47434610850946657
2020-04-29,5862005.757934539,27122.100506485196,14489.46685409068,12226.105642683578,226503.80289696399,0.4704649908954555
2020-04-30,5855373.961513688,26728.10740615127,14313.776535624927,12110.00375139673,233821.3655710553,0.46708633587840415
2020-05-01,5848865.347693601,26317.0295104628,14123.582975096828,11978.734751656848,241062.5043479074,0.46425921165764894
2020-05-02,5842477.464890451,25894.847889677723,13921.866706575089,11834.305785489163,248218.70214241743,0.46200751604369017
