date,S,E,I1,I2,R,beta
2020-02-27,6664373.232329765,571.4169422010467,151.23999769330888,0.0,0.0,5.000542182171037
2020-02-28,6664100.7207786655,749.6300253373554,200.05054207577513,34.07125989581743,11.417807749836669,3.856088437232895
2020-02-29,6663775.779970984,936.6838756959589,266.00168589057483,77.161137380432,40.26508458845385,3.040550166227979
2020-03-01,6663433.27596816,1108.9054645205242,338.5952854926877,125.38915853478142,89.72624541701776,2.551905299769561
2020-03-02,6663105.848334689,1251.4152514596801,406.92189295357736,173.60002120415163,158.10636153402194,2.285280482474999
2020-03-03,6662430.274702794,1555.0699621278447,542.0833900496713,270.23585132587584,298.22846071276473,1.4620479119177208
2020-03-04,6661701.751389093,1835.4855681182435,683.8197438458509,374.23313782768264,500.6035711362555,1.143217967232044
2020-03-05,6660904.8008542545,2111.7964502896525,826.8332795218938,483.72304692436455,768.7430448199951,0.9913324224414485
2020-03-06,6660020.536347918,2401.655507129363,971.7459793435327,596.9258773739368,1105.040736744381,0.9167723871662873
2020-03-07,6659025.494061388,2722.6356127796016,1122.5988796305787,713.766967921828,1511.4234163206636,0.8854157462999025
2020-03-08,6657890.105237716,3093.6153148201765,1285.6308809699044,836.0830281585967,1990.5078299871846,0.8815785832278452
2020-03-09,6656576.784673311,3536.1739298390967,1468.8325367253533,967.4593734286033,2546.7262764368475,0.8969430456351863
2020-03-10,6655037.688746304,4075.9478647204264,1681.9655670183265,1113.0863385391604,3187.336519680545,0.926336554200015
2020-03-11,6653212.301677081,4743.816316318051,1936.8425692142177,1279.7489189614525,3923.380571258557,0.9657986649707315
2020-03-12,6651025.124166615,5576.714603679039,2247.7058008669665,1475.9476262229784,4770.683042143116,1.0116324531753214
2020-03-13,6648383.810478448,6617.8582458906,2631.562520612913,1712.0970845404454,5750.955864155167,1.0600277602865131
2020-03-14,6645178.186063402,7916.134153231458,3108.3435775130097,2000.7252378467251,6893.031337725516,1.1070647108117813
2020-03-15,6641280.769494569,9524.299758350398,3700.7434489146453,2356.582543750053,8234.191279963694,1.1489181418363914
2020-03-16,6636549.633845147,11495.530267520156,4433.5677685826795,2796.5540346287194,9821.49800856997,1.182153506746596
2020-03-17,6630834.512094069,13877.90289791935,5332.390273332279,3339.2465112639134,11712.959526799812,1.2039948049229205
2020-03-18,6623986.767577967,16706.763585303874,6421.34472413313,4004.1104397042636,13978.277437926172,1.2125231403195376
2020-03-19,6615872.977338471,19995.71437828366,7720.01634487185,4809.977999076184,16698.84587417072,1.2068216496567925
2020-03-20,6606390.689658141,23727.82730520467,9239.669946269396,5772.988577803182,19966.626268143,1.1870336617781996
2020-03-21,6595483.945843679,27849.15425013624,10979.361810203907,6904.033223239824,23881.560044835678,1.154278958786151
2020-03-22,6583155.167298617,32266.99703531556,12922.737924319941,8206.038041122763,28547.331720674916,1.1105590549537887
2020-03-23,6569469.964114386,36854.829931005224,15036.48528721425,9671.589970871097,34065.563554627166,1.0585450878067146
2020-03-24,6554553.460298213,41463.497052916304,17271.184647948445,11281.504397591953,40528.87551420426,1.0012361239469802
2020-03-25,6538578.989023839,45936.43778547958,19564.696242269427,13004.8230890719,48013.583340832156,0.9416106048195166
2020-03-26,6521751.598656592,50125.84085293038,21847.572294402267,14800.432104737414,56573.00932780598,0.8823099604338025
2020-03-27,6504289.478446335,53906.81488403994,24049.51885952723,16620.12185155669,66232.36426658215,0.8254612776987114
2020-03-28,6486406.216239494,57187.508610888486,26105.811388234888,18412.614073587574,76985.92594755339,0.7726055525946356
2020-03-29,6468296.003590403,59914.30872452417,27962.697327707992,20127.920990919825,88796.87274454399,0.7247532430408571
2020-03-30,6450122.828317558,62072.35727327331,29581.17835359801,21721.408154427943,101599.72652414959,0.6824848815258736
2020-03-31,6432014.105002944,63682.080617784064,30938.916772133507,23157.066397702874,115305.01272326431,0.646054533252697
2020-04-01,6414058.364897726,64793.005411117745,32030.309543122818,24409.682042760272,129805.50848553334,0.6154947468076779
2020-04-02,6396306.461035802,65475.947361809725,32865.03375792325,25465.79925720232,144983.33946967736,0.5906736047459874
2020-04-03,6378775.586043246,65814.58406142349,33465.43115052832,26323.53122472877,160717.19262764064,0.5713345813092939
2020-04-04,6361454.957248894,65897.54445859298,33863.20824535421,26991.400848931316,176889.0003863335,0.5571256734709972
2020-04-05,6344312.437046231,65811.5172425692,34095.90621660218,27486.479881655923,193389.60288127683,0.5476058375190783
2020-04-06,6327301.66865247,65635.5023999199,34203.464734202855,27832.112648457383,210123.0733068347,0.542241338766968
2020-04-07,6310368.8977333,65436.67795115543,34225.128444198795,28055.48201008247,227009.55776325203,0.5404298215413762
2020-04-08,6293458.831237843,65268.04856338994,34196.941318520316,28185.253663145148,243986.6298877985,0.5415167087764186
2020-04-09,6276519.512546165,65167.48382498612,34149.919140348,28249.489157764394,261009.29266796375,0.5448120309965632
2020-04-10,6259505.892974254,65158.12107833103,34108.90480055455,28273.944737206253,278048.850811618,0.5496337131446176
2020-04-11,6242381.986809436,65249.899566192355,34092.10784120646,28280.826417783945,295090.9276354437,0.5553408568699431
2020-04-12,6225122.156617768,65441.480110277225,34111.20917382655,28288.023189231124,312132.9225867734,0.5613481583225967
2020-04-13,6207711.95856518,65722.09737399228,34171.823133402606,28308.769529131696,329181.1893591789,0.5671369990030206
2020-04-14,6190148.696962932,66073.23256255145,34274.14621311855,28351.642728374456,346248.1627224311,0.5722612856549723
2020-04-15,6172441.841552997,66470.01478196422,34413.66958639053,28420.793161039066,363349.59710034524,0.5763439088437615
2020-04-16,6154613.206550861,66882.51675330313,34581.88105008675,28516.315375229875,380502.01884066494,0.5790816284417313
2020-04-17,6136696.564767178,67277.25422117491,34766.976867137084,28634.70042284997,397720.44862400775,0.5802553752906144
2020-04-18,6118736.585621035,67618.93364892328,34954.63226807875,28769.35109977474,415016.4301135067,0.57973488081905
2020-04-19,6100787.152074222,67872.34257063601,35128.84648368364,28911.16075640944,432396.39890865446,0.577478619644385
2020-04-20,6082909.106023896,68004.30690972532,35272.85280097812,29049.154973896937,449860.42815755965,0.5735303637037004
2020-04-21,6065167.716934206,67985.43489662195,35370.05418737564,29171.186090047406,467401.38577167474,0.5679993250079515
2020-04-22,6047630.2414154075,67791.38137062012,35404.89252571791,29264.64909003977,485004.5252580443,0.5610411156329874
2020-04-23,6030363.728358234,67403.60676059681,35363.5760418844,29317.17160430461,502647.50397236325,0.5528402523482671
2020-04-24,6013433.149903208,66809.67535131365,35234.62277318437,29317.231834572474,520300.7922632711,0.5435937857465355
