date,S,E,I1,I2,R,beta
2020-03-02,5565756.805738038,52.35229922085663,11.893907730531973,0.0,0.0,5.00005771560858
2020-03-03,5565744.8748450065,60.68680621509971,14.217255308502363,0.9724121484186621,0.3010648828332054,4.641234097235611
2020-03-04,5565717.103122337,79.07580169130217,19.385616219793512,3.931486581685636,1.5577473385206153,3.803999481926747
2020-03-05,5565679.398970853,102.1916759667694,26.79596169790159,8.147690402305148,4.521351576779557,3.141536947098427
2020-03-06,5565639.145887239,124.79579359798801,34.961861642803434,12.838776859659028,9.315207498190258,2.8007355554969373
2020-03-07,5565582.135785668,155.61281780523316,46.356587731034,19.550416232597282,17.404417871641364,2.3716960158326583
2020-03-08,5565487.1661183955,205.4737941997721,65.07548789380154,30.72905390413438,32.619575501594824,1.7799713108740378
2020-03-09,5565364.882015618,265.7234307771364,88.80756801001549,45.22543066008752,56.43035517123849,1.44092480028438
2020-03-10,5565217.343525405,334.3046441050383,116.59071313564151,62.67431800906652,90.16083749740021,1.2665129198603522
2020-03-11,5565041.105943032,412.32412503334325,148.68030562257067,83.29524285725525,135.67412130593073,1.1582552429752435
2020-03-12,5564832.78730757,500.5745575381632,185.4262190620916,107.32474181836567,194.97302969972782,1.0825256055969297
2020-03-13,5564589.160381989,599.527919723693,227.1684944124827,135.02132364580146,270.21418657409026,1.0244238503343874
2020-03-14,5564307.211943331,709.3590350577551,274.17624312568626,166.63895466754246,363.7128030039845,0.9766607360950917
2020-03-15,5563984.156723129,830.003353392011,326.6196319132265,202.39736273276307,477.92868947434386,0.9355712109494928
2020-03-16,5563617.40259659,961.2439615697344,384.56850085439436,242.46114949987196,615.4363478074001,0.8993558820382569
2020-03-17,5563204.470600823,1102.817782241813,448.01213322512547,286.93210957490385,778.8866830627711,0.867197392212533
2020-03-18,5562742.879838289,1254.5275997351882,516.8943381562747,335.8552099342694,970.9690236445595,0.8387638523434595
2020-03-19,5562230.009468396,1416.3479450210912,591.1575319951814,389.2363336587386,1194.3814247198484,0.8139327847588509
2020-03-20,5561662.951048389,1588.5146451671337,670.7897796236579,447.06858394287633,1451.8154312293977,0.7926451990621112
2020-03-21,5561038.365013907,1771.5897742744853,755.8692087709093,509.3633321139176,1745.9591767593615,0.7748287476923303
2020-03-22,5560352.351725169,1966.4987883269655,846.6011315244913,576.1820521171331,2079.5202357865824,0.7603610991092853
2020-03-23,5559600.346628203,2174.5379258448625,943.3447217826813,647.6653951833677,2455.2672952223757,0.7490512438629827
2020-03-24,5558777.056022265,2397.344158209979,1046.6263821365997,724.0565310042931,2876.0877089273554,0.7406232583161152
2020-03-25,5557876.442495093,2636.8289844246506,1157.13691123026,805.715962260155,3345.056267233564,0.734719447307196
2020-03-26,5556891.7595235035,2895.0845819798674,1275.7126260121922,893.1257825323135,3865.5090480322697,0.7309115705847331
2020-03-27,5555815.636621726,3174.2672066283735,1403.3018509133462,986.8826095039012,4441.115430114996,0.7287231997218747
2020-03-28,5554640.221617544,3476.4570158915335,1540.9179844100884,1087.6792102725587,5075.941284737242,0.7276439689536291
2020-03-29,5553357.3830892015,3803.497506794677,1689.5795600306549,1196.2748895144557,5774.496638027666,0.7271500903376458
2020-03-30,5551958.972483006,4156.819434957934,1850.2390066998353,1313.4550436504844,6541.761306732084,0.7267229186870174
2020-03-31,5550437.1433085315,4537.255395586243,2023.7017940661867,1439.9807752081529,7383.182353549646,0.7258750273012338
2020-04-01,5548784.712864082,4944.860211788093,2210.539405537928,1576.530003762704,8304.637887187168,0.7241755619379928
2020-04-02,5546995.558361478,5378.742516332172,2411.0007765015785,1723.6324349052725,9312.362948768965,0.7212626521507854
2020-04-03,5545065.032217472,5836.91872762568,2624.926082663335,1881.6011857080061,10412.834840013504,0.7168562629240017
2020-04-04,5542990.363057586,6316.213484188943,2851.6695449478743,2050.4645955659034,11612.617088520985,0.7107669076399739
