date,S,E,I1,I2,R,beta
2020-02-28,3003628.561950788,52.9713014218051,12.459075840502095,0.0,0.0,5.00010891889793
2020-02-29,3003622.9069093326,57.21420716833327,12.98428321219203,0.670464722634226,0.21674187730050717,4.761799773142608
2020-03-01,3003613.437143526,63.31603590895044,15.111138073823632,1.5201359476131455,0.6085265597813899,4.468119281804356
2020-03-02,3003590.075372158,78.51485519028026,19.545528989778155,4.014308148655417,1.8440588178955153,3.82794750147223
2020-03-03,3003555.64801408,99.55850812770026,26.313138245516644,7.858972254606373,4.617248037322976,3.211089184338125
2020-03-04,3003511.594831078,124.80741142378837,35.12301791915928,12.888834176140678,9.583968932782378,2.7606706281919586
2020-03-05,3003456.9251268883,154.48071115414066,45.97978836297727,19.20431836995551,17.410770478293554,2.4326991802009936
2020-03-06,3003368.290849236,201.5679291804815,63.27251194283912,29.40854749185164,31.46511026833955,1.9344724291098654
2020-03-07,3003242.6044303332,265.6497022356558,87.4103722564298,43.83344516922586,54.51288307560481,1.5478976813223306
2020-03-08,3003086.3313406976,341.89063399226865,116.65740115549289,61.582183677539945,87.55636469943494,1.3735584381192634
2020-03-09,3002892.875948819,433.29014374584955,151.85917641301552,83.20595824887008,132.79518918927346,1.2774702433930047
2020-03-10,3002654.8927388336,542.8082087234144,194.14926407493707,109.37662443748145,192.80960979482694,1.217001362432283
2020-03-11,3002364.5218538153,673.1666175871139,244.80521064630884,140.91002348051833,270.6443243958071,1.1730879130601397
2020-03-12,3002013.7786417524,826.5605596435134,305.1097922529161,178.72746212640925,369.88456586004685,1.135786449648959
2020-03-13,3001595.102253151,1004.2975949538162,376.1982219528462,223.78194507022604,494.6950591086941,1.099571167827216
2020-03-14,3001102.0212982516,1206.4189571219404,458.8871325701348,276.9585630562616,649.8036772833053,1.0614545901773085
2020-03-15,3000529.8389854557,1431.3937966817664,553.4987917448245,338.955936943071,840.4164246989495,1.0201090132784414
2020-03-16,2999876.2137107877,1675.9779849381493,659.7087214325533,410.1605598245087,1072.0561453672422,0.9753771169879701
2020-03-17,2999141.526108242,1935.293954454056,776.4492988496572,490.53204575899184,1350.326876000466,0.9279057854116615
2020-03-18,2998328.9576802044,2203.145126447405,901.8956960411109,579.5199969199423,1680.6180944219961,0.878824582364849
2020-03-19,2997444.2383573526,2472.5467001563984,1033.5494877393667,676.0313453680513,2067.7755377429053,0.8294977724469371
2020-03-20,2996495.107726788,2736.3808368519844,1168.4177935905907,778.4609047471241,2515.7751767566824,0.7812663360076118
2020-03-21,2995490.604721652,2988.0478200861025,1303.2599670510608,884.786097818718,3027.4409863408223,0.7352904706639324
2020-03-22,2994440.2838056204,3222.03002292687,1434.8628666221555,992.7138114642246,3604.242666488618,0.6924955126478278
2020-03-23,2993353.442498698,3434.3149474071183,1560.3085632054276,1099.8593782279363,4246.198351709941,0.6535591063017832
2020-03-24,2992238.4434764353,3622.636787993309,1677.2035299629133,1203.9349742148675,4951.893292277566,0.6189271095772367
2020-03-25,2991102.1887688492,3786.5290263969287,1783.8450392346638,1302.9250920359873,5718.611107473946,0.5888546257543823
2020-03-26,2989949.768297419,3927.212781854642,1879.3127439403638,1395.2302482809412,6542.5615236810045,0.5634495454808865
2020-03-27,2988784.295055999,4047.347901476517,1963.4841941886255,1479.7661768062471,7419.179308654854,0.5426959713876364
2020-03-28,2987606.9213888124,4150.6840529818355,2036.9795894433607,1556.012053849249,8343.463852877052,0.526468248068643
2020-03-29,2986417.001977993,4241.665417880367,2101.04894803148,1624.0074772335752,9310.327290145517,0.5145437463755845
2020-03-30,2985212.3646921804,4325.033710642053,2157.4201100915393,1684.3037812439075,10314.921282741789,0.5066084645773928
2020-03-31,2983989.635008853,4405.478061922788,2208.127946431721,1737.8795213907529,11352.918022353082,0.5022730550850549
2020-04-01,2982744.5594136473,4487.3675463658865,2255.347281787071,1786.0332614876072,12420.728612046256,0.5010921071385511
2020-04-02,2981472.30423534,4574.56672624751,2301.2462852622266,1830.268049332387,13515.65084966381,0.5025804621628341
2020-04-03,2980167.7190793664,4670.324331399617,2347.8684850103014,1872.1798557789214,14635.946694402539,0.5062306139358996
2020-04-04,2978825.567508638,4777.2151939609,2397.0455160583174,1913.3586816570682,15780.855825390649,0.511523324678186
2020-04-05,2977440.7184319785,4897.1301301860285,2450.3377863960714,1955.3069082112152,16950.555387985056,0.5179501010982531
2020-04-06,2976008.305986667,5031.2947843469165,2509.000721016115,1999.3766952170631,18146.07764551664,0.5250199888962249
2020-04-07,2974523.879199705,5180.292822832681,2573.9689525660337,2046.7255310230003,19369.19739894511,0.5322713470132641
2020-04-08,2972983.5421088077,5344.091649344207,2645.8522771460225,2098.2870388645024,20622.299399212767,0.5392847359122955
2020-04-09,2971384.0891166935,5522.065876765258,2724.9386925815347,2154.753679030207,21908.233786412806,0.5456915935662688
2020-04-10,2969723.1391448244,5713.016130474478,2811.20081928517,2216.567989111305,23230.16547487621,0.5511799243206642
2020-04-11,2967999.2597777224,5915.192298819945,2904.304221496973,2283.9195690858114,24591.42145819811,0.5555011656080677
2020-04-12,2966212.062424933,6126.336795929043,3003.6196853948536,2356.7465086428647,25995.338688947257,0.5584790969720255
2020-04-13,2964362.252191429,6343.757736017068,3108.2430111420913,2434.741613991297,27445.115028356453,0.5600159261538149
2020-04-14,2962451.6274987753,6564.429472265237,3217.025257611771,2517.364724010861,28943.666538898065,0.5600878239672793
2020-04-15,2960483.019910332,6785.122853682458,3328.6150244137643,2603.8624811846807,30493.49536704653,0.5587419189099545
2020-04-16,2958460.1804979485,7002.551552918088,3441.5136440643614,2693.2970043989885,32096.573192171512,0.5560840657444323
2020-04-17,2956387.6445076973,7213.503063975316,3554.1376560039353,2784.583462496234,33754.245514571776,0.5522590968181939
2020-04-18,2954270.5772387297,7414.956491706784,3664.881761222229,2876.5339720486095,35467.16113595159,0.5474397196619869
2020-04-19,2952114.6063498687,7604.184823085816,3772.1797499793142,2967.9048564547757,37235.229387241205,0.5418111926649525
2020-04-20,2949925.6482578823,7778.839483334663,3874.5599114069937,3057.444490982054,39057.60591560002,0.5355631845045664
2020-04-21,2947709.725767177,7937.022869358066,3970.6949044970993,3143.9395113581318,40932.70643437968,0.5288838229278278
2020-04-22,2945472.7785628038,8077.350541579857,4059.4456767654806,3226.2578804460522,42858.24704803881,0.5219595466209811
2020-04-23,2943220.467794244,8199.003921441577,4139.900142823169,3303.388070257464,44831.30910299137,0.514974368858302
2020-04-24,2940957.98915294,8301.762825904365,4211.405654251541,3374.4740329149013,46848.42612375194,0.5081066638231658
2020-04-25,2938689.911192507,8386.007697425055,4273.592417239276,3438.8450466038535,48905.68998411922,0.5015231480989054
2020-04-26,2936420.062445666,8452.677575278496,4326.383731856624,3496.038738367141,50998.87253363263,0.49536884317984103
2020-04-27,2934151.48014714,8503.183813179787,4369.988156734813,3545.814699373705,53123.55735501457,0.48975851272144466
2020-04-28,2931886.406176456,8539.30314923142,4404.87366734636,3588.156352527008,55275.27471099806,0.48477722119823047
2020-04-29,2929626.3206288544,8563.062913326468,4431.728491276029,3623.2606757407116,57449.63219527818,0.4804800937464688
2020-04-30,2927372.0131013957,8576.620221805784,4451.41235603793,3651.5168593434214,59642.434337672916,0.4768929420660201
2020-05-01,2925123.68355084,8582.14385090156,4464.901570707057,3673.475618374549,61849.7854754066,0.4740144124818016
2020-05-02,2922881.0586308786,8581.710387436475,4473.232438585458,3689.8116559564914,64068.17139181546,0.4718195471850142
2020-05-03,2920643.525661147,8577.208436370256,4477.446790554441,3701.282455786958,66294.51681331277,0.470258285226914
2020-05-04,2918410.29365698,8570.241047823341,4478.539042670047,3708.6856777493067,68526.21749949851,0.46925308400250687
2020-05-05,2916180.571148946,8562.036127718284,4477.404660661192,3712.816112053831,70761.14659882346,0.46869942500473627
2020-05-06,2913953.74816295,8553.37397722352,4474.792290458918,3714.423165493447,72997.63551895508,0.4684668744719588
2020-05-07,2911729.5729208994,8544.53659775079,4471.261931025955,3714.1703252347743,75234.43029436407,0.4684030115651013
2020-05-08,2909508.3022310445,8535.292622623638,4467.152554710957,3712.59843349038,77470.62538755368,0.46834377363315216
2020-05-09,2907290.806963986,8524.925199793513,4462.564387696583,3710.095565040897,79705.57819226326,0.46812442189711034
2020-05-10,2905078.637821273,8512.287866866327,4457.3576103063915,3706.87653650666,81938.80919540398,0.46758701264631103
2020-05-11,2902874.054372894,8495.87996036057,4451.165272069565,3702.9734642240055,84169.89407367281,0.46659034851450215
2020-05-12,2900680.013982818,8473.939584131911,4443.419027689129,3698.2374247913513,86398.35441655292,0.46501750007540693
2020-05-13,2898500.113066,8444.55700310376,4433.386371461837,3692.350724378047,88623.55358792483,0.46278650330424054
2020-05-14,2896338.4737756234,8405.809162579957,4420.2197216081995,3684.849468581251,90844.60387861732,0.4598576781405576
2020-05-15,2894199.60078335,8355.888087850784,4403.014467680721,3675.155898455748,93060.29094348036,0.4562309645364996
2020-05-16,2892088.2232129844,8293.212685332812,4380.868786554188,3662.61797302905,95269.02066923001,0.4519451882513132
2020-05-17,2890009.1076010503,8216.540005638824,4352.943154514277,3646.5531185416353,97468.7916923619,0.44707964706968717
2020-05-18,2887966.842798329,8125.0747469285025,4318.519869902959,3626.294465922868,99657.19523160183,0.4417532787046339
2020-05-19,2885965.6139137847,8018.563002946719,4277.060022047317,3601.238125073302,101831.44314619171,0.43611962059403253
2020-05-20,2884008.974752659,7897.3661124815,4228.254709704403,3570.8893584466937,103988.424247983,0.4303634990627738
2020-05-21,2882099.623978945,7762.514656491617,4172.068631915779,3534.9055653291175,106124.78755695444,0.4246970248011354
2020-05-22,2880239.210474247,7615.723789647845,4108.773651046081,3493.13436644507,108237.04994282071,0.41934895990008003
2020-05-23,2878428.202524008,7459.348451618005,4038.96571962761,3445.6441810567317,110321.72419591754,0.41455006575118797
2020-05-24,2876665.833515047,7296.28168548182,3963.559219938173,3392.743446214691,112375.4614242214,0.4105211271344161
2020-05-25,2874950.118710661,7129.81434097595,3883.7576548983243,3334.9851233354684,114395.19935364649,0.40746323126980316
2020-05-26,2873277.92783424,6963.478775034812,3801.004413514013,3273.1551179201406,116378.30684271744,0.40555327081558434
2020-05-27,2871645.0889839022,6800.902032372109,3716.920876884195,3208.24581396834,118322.7151416764,0.40494377777020946
2020-05-28,2870046.4991729674,6645.687964462453,3633.24114429654,3141.418435641916,120227.0281495735,0.4057657439730084
2020-05-29,2868476.228828448,6501.33226230853,3551.7515867773536,3073.95955512749,122090.60683066658,0.4081310434051895
2020-05-30,2866927.6212717,6371.161382245608,3474.2395452451638,3007.2369303844557,123913.62628148716,0.41213034918974634
2020-05-31,2865393.39818591,6258.279744473355,3402.4510589737515,2942.6581734042106,125697.10667317141,0.4178228180244767
2020-06-01,2863865.7839869624,6165.51213630274,3338.054081063493,2881.633381457961,127442.92063240227,0.42522077861584334
2020-06-02,2862336.6541527924,6095.338110030622,3282.6035434296227,2825.541097056368,129153.77948895877,0.4342737247838304
2020-06-03,2860797.7135610264,6049.814871375723,3237.5054993796666,2775.69623692773,130833.1999739351,0.4448506003175777
2020-06-04,2859240.7000603667,6030.496375948012,3203.9784701939902,2733.3182817870847,132485.45201599403,0.45672894376521184
2020-06-05,2857657.582117398,6038.37733129758,3183.0152888962953,2699.4989730930088,134115.48756298106,0.46960266357080027
2020-06-06,2856040.7304203673,6073.873090874976,3175.3525221202203,2675.1712669093695,135728.85072137846,0.4830999737033972
2020-06-07,2854383.0732159694,6136.817937595945,3181.4504087288783,2661.0824812520596,137331.5710583313,0.4968018754068873
2020-06-08,2852678.2357842983,6226.477783890974,3201.48196440022,2657.7733335242124,138930.04329663224,0.5102714819999243
2020-06-09,2850920.664134774,6341.572997855508,3235.3309010056705,2665.563620850193,140530.8971990606,0.5230816689041413
2020-06-10,2849105.75258336,6480.291907911838,3282.5945514883906,2684.54424328976,142140.86153792893,0.5348369641771639
