date,S,E,I1,I2,R,beta
2020-02-25,6242893.383553698,50.62521726434694,12.719988658111683,0.0,0.0,5.000050733852136
2020-02-26,6242842.202398655,86.90276453187924,19.696150243559767,5.7453744327108565,2.1821129374212025,2.718527619624831
2020-02-27,6242815.4268866535,100.89666309906386,25.28457232666985,8.702859688675689,6.4179362229326244,2.611302154977894
2020-02-28,6242862.14831955,70.03484956985754,17.403371820203034,3.557915043242109,3.5843541949618363,4.215157610575215
2020-02-29,6242873.044837779,63.875803323481406,15.575420972885416,2.30172826382884,1.9311922460882154,4.332976241301074
2020-03-01,6242863.596308983,70.03219368166931,17.593476521335788,3.377352495872263,2.1300175284629046,3.941422256886176
2020-03-02,6242849.143988786,78.66855410168121,20.541478458243326,5.133949240841376,3.2418308144922685,3.584930224931308
2020-03-03,6242820.504944431,95.19450032018949,26.29322865487473,8.632048927913903,6.105900115542844,2.960548488035563
2020-03-04,6242787.093551293,112.78479999940483,33.19794087612723,12.831384012778816,10.823907181176763,2.565045859981877
2020-03-05,6242740.596045412,136.20469112231766,42.577246899313174,18.700859815515862,18.65411574047937,2.1406072340688613
2020-03-06,6242677.085259082,166.7885816582847,55.074072437426814,26.656880585150834,31.130115995416492,1.7532011389364615
2020-03-07,6242588.215621391,208.1787111892595,72.01182953930126,37.57595323969895,50.755691660126004,1.3946796317164252
2020-03-08,6242476.778526343,258.22405863800145,92.42124324430239,50.85174729487994,78.46616697058789,1.2020645234004974
2020-03-09,6242341.5417672265,317.7213366806583,116.1733076751798,66.2816386254583,115.02889106176852,1.123643623339221
2020-03-10,6242176.061983829,390.16713758548167,144.30206362600936,84.33217038710274,161.89042347664832,1.0943127388007987
2020-03-11,6241972.463478312,479.5067837931416,178.21255137073857,105.70980593252399,220.87000702662667,1.0891972533100627
2020-03-12,6241721.344124554,590.1125165382501,219.62583379037721,131.37814104755068,294.3132057278792,1.0953311558210337
2020-03-13,6241411.802195983,726.6591706765699,270.5302652283789,162.5500040200179,385.24599337717564,1.1046923802043025
2020-03-14,6241031.655848467,893.8581277870525,333.11061356543166,200.6624033073923,497.5171883357097,1.111863488262283
2020-03-15,6240567.922259075,1096.0240772945358,409.63085310712785,247.32883124906988,635.9173806136627,1.1131389973899397
2020-03-16,6240007.598236208,1336.477456547451,502.25373336480214,304.2584208276811,806.2570738408399,1.106134480136876
2020-03-17,6239338.716832589,1616.844900627502,612.7935642865015,373.1323814440563,1015.3803410767126,1.0896203445895782
2020-03-18,6238551.546560289,1936.4005054458867,742.4223512169144,455.43550097372184,1271.0867061020535,1.0634508429640277
2020-03-19,6237639.738879387,2291.6089347806765,891.3752278079796,552.2540190341961,1581.937302997478,1.0284157300005787
2020-03-20,6236601.223681476,2675.9988507851567,1058.7130714983716,664.0654326738942,1956.9336688991714,0.9860323022517145
2020-03-21,6235438.638111632,3080.4781998967906,1242.2019277388008,790.5559399752201,2405.076965646616,0.9383426907112346
2020-03-22,6234159.181372548,3494.0775456125793,1438.3584163851783,930.5059114690713,2934.839165480842,0.8875930443773633
2020-03-23,6232773.963673097,3904.960539305716,1642.6673270522188,1081.7756864676808,3553.60039995445,0.8359252165747116
2020-03-24,6231296.999046826,4301.508380859035,1849.936173976926,1241.4034948269107,4267.119301353428,0.7851787798911818
2020-03-25,6229743.997583628,4673.3256325192015,2054.729256423542,1405.804588359808,5079.1017997428935,0.7368074427837578
2020-03-26,6228131.124116456,5012.038395563758,2251.8188564849925,1571.0436337407339,5990.920627038501,0.6918506108279566
2020-03-27,6226473.882250986,5311.796008407964,2436.5909712224147,1733.1415863196812,7001.516888043142,0.6509715201478481
2020-03-28,6224786.202438186,5569.478257381908,2605.3600341429164,1888.3757553280009,8107.489870808639,0.6145416801918834
2020-03-29,6223079.7619946925,5784.652415815145,2755.571999350131,2033.5389922961624,9303.357587098644,0.5827291061299622
2020-03-30,6221363.56564946,5959.312773461801,2885.891789599411,2166.1354454068883,10581.953362089385,0.5555528076781531
2020-03-31,6219643.788507566,6097.452890860513,2996.180061444111,2284.5005493028084,11934.913749374558,0.5329220492578723
2020-04-01,6217923.852283518,6204.534090877867,3087.3763435349842,2387.842529337225,13353.209072394786,0.5146556992086282
2020-04-02,6216204.690531951,6286.9136342049915,3161.310824370033,2476.2108394647485,14827.669732757517,0.500496662189311
2020-04-03,6214485.127502973,6351.308575900023,3220.4730499543184,2550.4032985740137,16349.46764419018,0.49012809584246664
2020-04-04,6212762.286420396,6404.359943065474,3267.770457462684,2611.829550632703,17910.52179878586,0.4832000899128817
2020-04-05,6211031.962440294,6452.329197880129,3306.306773964074,2662.352147232939,19503.809403226995,0.479353978929786
2020-04-06,6209288.929163536,6500.922879760672,3339.2001311634544,2704.1259773935153,21123.577230328414,0.47823756368717096
2020-04-07,6207527.1677502245,6555.2249940494985,3369.4497920942795,2739.4526127155523,22765.459098143045,0.4795167191127059
2020-04-08,6205740.020566866,6619.71005385267,3399.851921087667,2770.660480256684,24426.513287377176,0.4828845438534298
2020-04-09,6203920.304147703,6698.2866577995665,3432.956721071479,2800.0156837541986,26105.198073326585,0.48805402852341073
2020-04-10,6202060.430317733,6794.322197853351,3471.050681356587,2829.6615619547433,27801.3041008439,0.49473966978671596
2020-04-11,6200152.579659262,6910.614378117818,3516.1459880768666,2861.579651625289,29515.859016597886,0.5026302637768775
2020-04-12,6198188.965648736,7049.289283818022,3569.9598890686975,2897.561656218371,31251.013907359516,0.5113631895097905
2020-04-13,6196162.190863155,7211.643078720413,3633.8736295759845,2939.1815985482517,33009.914289247754,0.5205128088158839
2020-04-14,6194065.674817029,7397.957314077483,3708.871751687945,2987.760653617549,34796.552814272174,0.5295922436679456
2020-04-15,6191894.130640417,7607.31397273639,3795.4670453409763,3044.321748070043,36615.59799019314,0.5380688136447337
2020-04-16,6189644.0491635,7837.447712515974,3893.6202457490854,3109.5349634870163,38472.19276159718,0.5453988364074994
2020-04-17,6187314.159064029,8084.653476958383,4002.667071492234,3183.658517355111,40371.71874909698,0.5510623821583274
2020-04-18,6184905.846287476,8343.751491560479,4121.261373808746,3266.4817184699737,42319.52575351603,0.5545962755901217
2020-04-19,6182423.510655125,8608.115263340045,4247.34105359818,3357.2762681694244,44320.629960344355,0.5556227457230781
2020-04-20,6179874.840012509,8869.765321572857,4378.121106816043,3454.7615208568736,46379.38777963358,0.5538658232711001
2020-04-21,6177270.953258627,9119.557368517626,4510.119127778647,3557.088318737747,48499.155381248995,0.5491666611330813
2020-04-22,6174626.32498848,9347.519691104737,4639.226497255678,3661.847336257641,50681.94718534726,0.5415016631566968
2020-04-23,6171958.410232468,9543.375876199272,4760.843342368258,3766.111235811839,52928.111384543154,0.5309961985454756
2020-04-24,6169286.946658004,9697.22882515372,4870.088594844376,3866.5212701404457,55236.0471510111,0.517923010478523
2020-04-25,6166632.930796948,9800.37434381673,4962.083010948039,3959.4252922827495,57601.99387320143,0.5027030744423961
2020-04-26,6164017.356368964,9846.133014124587,5032.293780026193,4041.069164569535,60019.924971690474,0.48587745145914624
2020-04-27,6161459.9357452,9830.500024578483,5076.898481322983,4107.833137653388,62481.57622124808,0.468051604195631
2020-04-28,6158977.954655677,9752.526015077854,5093.110348797108,4156.489435367301,64976.627265309646,0.4498536745877418
2020-04-29,6156585.382814106,9614.381675501998,5079.4202142945,4184.449649903819,67493.03691185186,0.43188613073556453
2020-04-30,6154292.330570078,9421.105978116473,5035.717144425242,4189.968873370335,70017.51333336519,0.41469469126280945
2020-05-01,6152104.836247162,9180.126233252651,4963.279003468227,4172.279507496719,72536.08216675726,0.3987559384048366
2020-05-02,6150024.9658022905,8900.617876180955,4864.645761978153,4131.640937748169,75034.70396767466,0.3844664085721607
2020-05-03,6148051.163630199,8592.795235238042,4743.3988323927515,4069.3036561713493,77499.88910585345,0.37214419827766143
2020-05-04,6146178.754997053,8267.235040159958,4603.88247562362,3987.3980660344573,79919.26157877571,0.3620380044391873
2020-05-05,6144400.524541449,7934.290416315157,4450.904576157419,3888.7674931831166,82282.03273205426,0.35433664259409076
2020-05-06,6142707.3133172225,7603.623982828464,4289.447879558471,3776.7687441733074,84579.35935125672,0.34917589014144307
2020-05-07,6141088.573981393,7283.88580610826,4124.415051496983,3655.062806764725,86804.57481613784,0.34665024524850363
2020-05-08,6139532.844714357,6982.536134448297,3960.425294747102,3527.415753314905,88953.29498781954,0.3468176853827462
2020-05-09,6138028.165696543,6705.757591877772,3801.666530846664,3397.524952509478,91023.4111935526,0.3496860108033705
2020-05-10,6136562.4575817,6458.420661103021,3651.794168286463,3268.8775587039886,93014.98905984488,0.35519856924444615
2020-05-11,6135123.845444965,6244.104752146457,3513.869342793054,3144.64204867718,94930.09376332026,0.36322219648197257
2020-05-12,6133700.923548016,6065.165583123572,3390.331991284724,3027.5912376662536,96772.56183262343,0.37353572680612457
2020-05-13,6132282.981092957,5922.819492155886,3283.0020417301407,2920.0539713054277,98547.73822367168,0.3858172512954837
2020-05-14,6130860.183735268,5817.246859385685,3193.1000744158223,2823.891069416394,100262.19480561146,0.3996544704898982
