date,S,E,I1,I2,R,beta
2020-02-10,19790234.68083573,106.85438138489648,25.532243686441134,0.0,0.0,5.000033447483611
2020-02-11,19790189.928306572,135.37037464965482,34.16508086514265,5.735700427966262,1.8681355374220938,3.8285678737598694
2020-02-12,19790139.433998864,163.67753184783672,44.89567815473932,12.645586536729615,6.414865266228445,3.065767372608381
2020-02-13,19790091.884003885,185.94166256852074,55.37470410173703,20.009028744418426,13.858173229514641,2.621240179249718
2020-02-14,19790037.68482551,209.57820024394204,66.86563021133395,28.13939528249827,24.799452404934385,2.268071703431829
2020-02-15,19789936.700104218,253.85525973134276,87.5167897853806,42.94184289212973,46.05353001788048,1.5118013863453135
2020-02-16,19789826.073197242,295.8537943176555,109.26303697275524,59.03119635050401,76.84653680756665,1.1989667281371328
2020-02-17,19789700.01994091,340.1510627878385,132.0380356691484,76.44898376602532,118.41054272803738,1.0179622072412025
2020-02-18,19789553.928162064,389.994448975101,156.25483513530557,95.10614511973718,171.78680452069688,0.9102391889974747
2020-02-19,19789386.897955116,446.86325582303516,181.95362625112244,114.57591712383628,236.7829593914314,0.8727576351185993
2020-02-20,19789192.242836747,515.0326821522715,210.48597249024522,135.31296444791778,314.00460081293335,0.8720813704145917
2020-02-21,19788961.038287826,599.7660308068954,243.6638745813355,158.14157049918333,404.4773234099829,0.8956653632105602
2020-02-22,19788681.182240617,707.9185443105576,283.84804141070913,184.27312651985787,509.87674682488955,0.9374242267968864
2020-02-23,19788336.053747237,848.756167735868,334.1503671418162,215.3717724354031,632.7831013892642,0.9938553951805845
2020-02-24,19787902.62990926,1035.0629493155263,398.7584173642746,253.68844260274042,776.9985319932267,1.0624429346363167
2020-02-25,19787348.898204077,1284.6138758548043,483.40231249649935,302.28037161627685,947.975750090073,1.140811327946165
2020-02-26,19786630.35449221,1622.1141431812903,595.9944122425646,365.33521241182075,1153.4172080090848,1.2262875907179869
2020-02-27,19785685.311123036,2081.7402253620644,747.4853292776949,448.6241880804313,1404.1170823838615,1.315757778983012
2020-02-28,19784428.696422637,2710.4238610634557,952.9921192330384,560.1162996724188,1715.1357983052837,1.4057684316029389
2020-02-29,19782744.033839386,3571.9802573325696,1233.2579866280837,710.7928098118124,2107.418946730142,1.4927650552709224
2020-03-01,19780473.365164947,4752.0902899642415,1616.490797973602,915.7036197013892,2609.997453152867,1.573391477098292
2020-03-02,19777405.10016103,6363.9489438713545,2140.591306881831,1195.2996250806384,3262.92934347929,1.6447226875177718
2020-03-03,19773260.2254755,8554.035327902691,2855.700866551043,1577.0494034206545,4121.156597886328,1.7043593828976853
2020-03-04,19767677.977352273,11506.993166617038,3826.860525310152,2097.293650115374,5259.438156278755,1.7504426593451041
2020-03-05,19760202.841967177,15448.178530324285,5136.394158504226,2803.2013030442863,6778.461676422692,1.7816630744535487
2020-03-06,19750275.28300367,20642.303313484797,6885.459057372857,3754.5766919738294,8812.113066970805,1.797321082032641
2020-03-07,19737228.386829294,27387.170224544498,9194.149858976116,5025.161069070232,11535.68863071499,1.7974486589945164
2020-03-08,19720292.34775453,36001.94325077275,12199.644962908593,6703.028132518972,15174.594646173022,1.7828348271931187
2020-03-09,19698608.763157938,46809.492142230294,16051.97459969513,8889.684551073848,20012.835978793995,1.7549339329686895
2020-03-10,19671256.52656981,60112.62461044485,20907.08422785312,11697.524804833518,26400.36909084413,1.715637834240944
2020-03-11,19637290.321149584,76164.77266480785,26917.028261539952,15245.357251211053,34758.19908787795,1.6670127259518308
2020-03-12,19595791.817735694,95136.33472000949,34217.406365636845,19651.83892255623,45579.965479477956,1.6110379968331539
2020-03-13,19545932.313314695,117078.82359029599,42912.44952199995,25026.820433683086,59428.722737474156,1.549459147849577
2020-03-14,19487043.07899951,141890.64043247173,53058.64374337093,31460.833429861075,76927.70691626279,1.483748234772341
2020-03-15,19418687.55752572,169289.26127839176,64648.353211916,39013.27963344855,98744.14137519419,1.4151228495394776
2020-03-16,19340728.121440593,198794.7496461978,77595.35454737941,47700.250009588766,125565.61697940431,1.344579570415628
