date,S,E,I1,I2,R,beta
2020-03-04,10590960.87841522,52.347632346782454,11.91025363199322,0.0,0.0,5.000030336192941
2020-03-05,10590953.184140204,58.241863512636954,13.498657197518593,0.16427246171751583,0.047489946458870086,4.945186917600688
2020-03-06,10590924.435917335,78.00795391190647,18.566179733018767,3.0798199798463988,1.0485810665052162,4.110430137314546
2020-03-07,10590880.929438746,106.03601982264266,26.781581877120622,7.572793093192151,3.8217443091543037,3.380663607549462
2020-03-08,10590827.980658848,137.9381426087898,37.14591958240689,13.14582134368826,8.93466212240924,2.9605829282424496
2020-03-09,10590766.84610588,172.84848768537324,49.13084372867275,19.678761882515328,16.644889158792036,2.719479498612337
2020-03-10,10590645.228327006,241.8727462278857,72.61838641208662,32.72862942871064,32.70853439686464,2.06673216567244
2020-03-11,10590481.640128113,330.14644308215946,104.07890737361349,50.463535945226134,58.837022131028284,1.7257795713563453
2020-03-12,10590272.932251643,437.7620446150917,143.6134178372453,73.28049525904456,97.58883178932025,1.538737477603598
2020-03-13,10590010.700823663,567.6384291697287,192.38637694685426,102.09080380682536,152.37321288766012,1.4155269771375443
2020-03-14,10589686.196116349,722.3203311775234,251.6673324293472,137.84757830396865,227.1724317398394,1.3239847441759058
2020-03-15,10589290.57712987,903.8422217844497,322.6951849361027,181.54032130929298,326.5644537513826,1.2497534123439402
2020-03-16,10588815.203022929,1113.5911997424355,406.5676322748216,234.1464934536516,455.72760003069584,1.185741782020415
2020-03-17,10588251.946792094,1352.1823836902026,504.1468837724315,296.567842821232,620.4094397858418,1.1282705095990746
2020-03-18,10587593.504119853,1619.3676670650784,615.9803184591865,369.563905721138,826.8550456185052,1.075392618868792
2020-03-19,10586833.66378319,1913.9996905683429,742.2396463716346,453.6897758613898,1081.695709901792,1.0260994553260667
2020-03-20,10585967.50788877,2234.0657364870676,882.6848125253365,549.2439644276837,1391.8030858052575,0.9799020207245419
2020-03-21,10584991.524375282,2576.7904663635095,1036.6575587596644,656.2317131292201,1764.1171090060232,0.936594931813182
2020-03-22,10583903.627119912,2938.7954588888274,1203.106012500911,774.3479012676252,2205.4588918136765,0.8961157309524755
2020-03-23,10582703.092817442,3316.294143361959,1380.637529935262,902.9816265001232,2722.3415130061435,0.8584536338717558
2020-03-24,10581390.434471324,3705.296649929759,1567.592895993715,1041.2418289153422,3320.79186883502,0.8235955485585641
