date,S,E,I1,I2,R,beta
2020-02-15,12994797.986694908,52.52403387186556,11.69764092085149,0.0,0.0,5.000024710532238
2020-02-16,12994756.883098137,79.5203778825795,19.689874856162678,4.7236087641596605,1.3915163905933858,2.897947579779049
2020-02-17,12994742.603276595,85.78333856316041,23.120916331257796,6.948699547725417,3.752010916007364,3.0831098902917233
2020-02-18,12994734.3882592,88.20366149825266,25.01923038489095,8.658508767666824,5.938549642892668,3.0209596829808327
2020-02-19,12994743.570483547,81.9524491395445,22.958647245112676,7.668025237127387,6.0586286336980555,3.4458630677649897
2020-02-20,12994723.94175081,92.58663443336731,26.65016161743154,10.320965455933559,8.708727543987766,2.790375972115695
2020-02-21,12994707.16523622,100.25013667191845,30.10594133600987,12.56731781387537,12.119720818650105,2.5814615972683157
2020-02-22,12994691.878495764,106.38189179715634,33.297134775240444,14.638504547406171,16.012411905442992,2.4609773140570854
2020-02-23,12994678.070185384,111.68997666384806,35.94964156555509,16.398840290397153,20.09995139400362,2.4242147267513254
2020-02-24,12994680.015893904,109.51974580369824,35.28231890928512,15.936939177891018,21.45391441193559,2.6926672599917607
2020-02-25,12994654.351660004,121.76201223277909,40.074158610314655,19.036074988445428,26.985458756211823,2.2685506900242878
2020-02-26,12994626.123774137,134.2795406298763,45.369775840062495,22.472497544299816,33.96446116247202,2.1003466154204755
2020-02-27,12994606.329983687,142.32310936318362,48.87527937645353,24.69644534341078,39.98595929112699,2.1673979688153406
2020-02-28,12994600.398313949,144.60484720243446,49.471482770223865,24.924917039179388,42.81194406577196,2.3990822279997457
2020-02-29,12994593.390339512,148.78257657660072,50.24502021153784,25.106181004082462,44.68843595934849,2.512104685721521
2020-03-01,12994556.860765535,167.8740316187386,56.567189901031604,28.81539274673432,52.09727241293271,2.2839348429315964
2020-03-02,12994509.25877012,192.29516494752244,64.95028815027166,33.6684421281757,62.04476895619847,2.1712260440649715
2020-03-03,12994440.03586865,227.26054730942425,77.19623409461538,40.83062211701548,76.89811950983653,2.0169698285301494
2020-03-04,12994323.53974707,285.3418872871244,97.85148820620672,53.02069948211407,102.47395191554197,1.7290017063357284
2020-03-05,12994154.246339858,368.95717721453894,127.64518019216442,70.56622795910675,140.82228832554537,1.5029541198733045
2020-03-06,12993935.417357096,476.7167087076325,165.76274535011467,92.75337106704158,191.59971659942732,1.4171999455924282
2020-03-07,12993651.797740033,616.7392376399124,214.76080377821262,120.9760390355595,257.99297851663056,1.388497323466575
2020-03-08,12993283.106479796,799.4406033969764,278.21206236038984,157.17991611994168,344.35002546292,1.3852738518398278
2020-03-09,12992803.748114495,1037.5018644823126,360.7025444776529,203.93681899034857,456.42872782571175,1.392434639609058
2020-03-10,12992182.18708332,1345.8908209852557,467.9083369197206,264.5505998974209,601.8182569445311,1.4013018827456845
2020-03-11,12991380.692841254,1741.5509036594235,606.6092105380261,343.1333352459089,790.4151283981333,1.4064378961577675
2020-03-12,12990355.597451378,2242.7126172459834,784.5873648571499,444.6322000601097,1034.9283763162607,1.4044779746106897
2020-03-13,12989058.144328946,2867.846213829549,1010.3800654542596,574.7811770771532,1351.3736023402976,1.3936090031758381
2020-03-14,12987435.939395325,3634.331108823992,1292.876043768947,739.9558831052987,1759.5010119468247,1.3732968735991953
2020-03-15,12985434.866342487,4557.032651190329,1640.7776987139669,946.9214803271811,2283.0931764836014,1.3440957005586374
2020-03-16,12983001.245792365,5646.9983879725905,2061.990160253299,1202.4839167461405,2950.069297923865,1.3073685618740636
2020-03-17,12980084.102627419,6910.358954792286,2563.006430404342,1513.074684124561,3792.347122196823,1.264864326535352
2020-03-18,12976637.443872139,8347.47243520826,3148.336688668851,1884.306051926272,4845.436245143957,1.2183741960790355
2020-03-19,12972622.45132777,9952.33747423001,3820.0201138776824,2320.5320264867282,6147.759698370168,1.1695037262716172
2020-03-20,12968009.450296339,11712.33632867524,4577.248245814365,2824.445872108053,7739.721460838246,1.1196069736749732
2020-03-21,12962779.332648065,13608.519091164779,5416.144736315889,3396.7440339840578,9662.555765940413,1.0698268330741998
2020-03-22,12956924.180286216,15616.522468463529,6329.767014821361,4035.894759244203,11957.014871590845,1.0211099668691557
2020-03-23,12950446.961426672,17708.091417634718,7308.3676654256815,4738.051748893441,14661.976446783407,0.9742424260788197
2020-03-24,12943360.282749305,19853.07456966398,8339.927015351126,5497.145665032614,17813.072179526822,0.9298704374158854
2020-03-25,12935684.412700105,22021.593160188822,9410.914565492316,6305.166885213162,21441.451535528344,0.8884963923751238
2020-03-26,12927444.891307486,24186.064902949187,10507.189035137697,7152.622436668841,25572.791134343188,0.8504660912761072
2020-03-27,12918670.013944505,26322.86645994352,11614.924644422925,8029.120606114213,30226.637559254086,0.8159825479113559
2020-03-28,12909388.420246458,28413.517415980674,12721.462521026264,8924.019436634564,35416.13440353091,0.7851203041977917
2020-03-29,12899626.94849137,30445.359741795706,13816.01080718836,9827.072095519952,41148.142743250704,0.7578545257471596
2020-03-30,12889408.88660433,32411.735440164543,14890.147683310426,10729.009884594429,47423.72620031246,0.7340879785238394
2020-03-31,12878752.749114111,34311.66657051024,15938.099960825963,11622.0153385542,54238.942003759046,0.7136702453750337
2020-04-01,12867671.628389506,36149.10944683495,16956.79171678107,12500.05100903188,61585.85788495324,0.6964106019219479
2020-04-02,12856173.137168787,37931.863320378376,17945.677515004474,13359.025749319118,69453.7011229308,0.6820805473304039
2020-04-03,12844259.985479057,39670.17353298289,18906.379852066315,14196.795131737797,77830.04038226075,0.6704059606884105
2020-04-04,12831931.159573097,41375.132314360926,19842.15301040516,15013.00164961529,86701.90175544893,0.6610645851343221
2020-04-05,12819183.589765823,43057.023683893836,20757.216727327817,15808.768848406608,96056.72812100836,0.6536840271683614
2020-04-06,12806014.32010491,44723.60750853772,21656.004479026607,16586.273309795433,105883.1050368069,0.6478314048307864
2020-04-07,12792422.978350537,46378.54771685846,22542.359101982904,17348.220030394466,116171.19158582408,0.6430302990261104
2020-04-08,12778414.096602736,48020.34335194963,23418.771219564675,18097.26045804662,126912.81240256934,0.6387947134383803
2020-04-09,12763999.09919345,49641.7958287743,24285.761984866058,18835.414674353477,138101.19780062593,0.6346590865172828
2020-04-10,12749197.950943707,51229.89038500177,25141.45359281684,19563.558696500593,149730.39645566177,0.630199170986381
2020-04-11,12734040.385278588,52766.07027956227,25981.333686479597,20281.017788601173,161794.41560980672,0.625054099601774
2020-04-12,12718566.617617238,54226.89456694059,26798.218912152082,20985.290381398125,174286.16266233474,0.6189409232112834
2020-04-13,12702827.530433245,55585.00363918685,27582.408886102072,21671.915939626473,187196.27293694625,0.6116570445234095
2020-04-14,12686884.228639266,56810.41794208382,28322.015728669187,22334.48869963419,200511.91254291416,0.6030880092050757
2020-04-15,12670806.861434799,57872.18051578172,29003.473565009026,22964.817357246822,214215.6450138108,0.5932103808512671
2020-04-16,12654672.669905068,58740.30068035226,29612.22245645551,23553.23029994494,228284.4510708761,0.5820896118072378
2020-04-17,12638563.26291627,59387.924320049846,30133.554012873028,24089.022633654,242688.98996684115,0.5698741366052522
2020-04-18,12622561.329199888,59793.49306576163,30553.57651582471,24561.03354452249,257393.1857942463,0.5567814327587226
2020-04-19,12606747.049154915,59942.66335148114,30860.22359933171,24958.326383635755,272354.20783654245,0.5430874354420833
2020-04-20,12591194.625926018,59829.66119593396,31044.211223019454,25270.926951804584,287522.88923092996,0.5291014486942615
2020-04-21,12575969.45784827,59457.75226925517,31099.80174533523,25490.55012873282,302844.59339427133,0.5151355345836478
2020-04-22,12561126.066256111,58838.94824428637,31025.267349350186,25611.22752070186,318260.4884540937,0.5014901230819784
2020-04-23,12546706.731633795,57993.16402864118,30823.041093955628,25629.768236894495,333709.1416978889,0.48844548720874076
2020-04-24,12532740.98067304,56946.825918884184,30499.56628099142,25546.015827286523,349128.31769753294,0.4762475991691803
2020-04-25,12519245.94296519,55731.04748446078,30064.857314582066,25362.882384932484,364456.8504820758,0.4650991115309116
2020-04-26,12506227.328585627,54379.694212057046,29531.831467089938,25086.16218937944,379636.45573423547,0.455159569620439
2020-04-27,12493680.815975005,52927.54146571079,28915.50817448854,24724.157778590954,394613.35949382,0.4465453080224625
2020-04-28,12481593.726857094,51408.61074413668,28232.1588909046,24287.17049588049,409339.64657744847,0.43932857353204957
2020-04-29,12469946.860195106,49854.75164718432,27498.47508519582,23786.911487867706,423774.26571103215,0.4335364152792189
2020-04-30,12458716.362535318,48294.52197049707,26730.80293162506,23235.884509232998,437883.66170623363,0.4291513474940401
2020-05-01,12447875.595343364,46752.32668618918,25944.48000902899,22646.784572139884,451642.03390282026,0.4261061940679725
2020-05-02,12437396.880353794,45247.86578047092,25153.288736481252,22031.944939671466,465031.2427335494,0.42428960830423895
2020-05-03,12427252.941116521,43795.972735005045,24369.059886792365,21402.860378738063,478040.4031233791,0.4235520485099167
2020-05-04,12417418.03888719,42406.75314962431,23601.438982175972,20769.8110835135,490665.219832443,0.42371370562878935
2020-05-05,12407868.767164329,41085.98889946324,22857.80653293876,20141.59981533118,502907.13156816864,0.4245790946415385
2020-05-06,12398584.496722072,39835.75020898836,22143.342826875403,19525.40552243597,514772.3356154883,0.425949546664172
2020-05-07,12389547.605331423,38655.047704010256,21461.205495876977,18926.747786815064,526270.7641285954,0.4276293629367772
2020-05-08,12380743.57985294,37540.44232826,20812.770369263817,18349.543186085088,537415.074952962,0.4294312219375177
2020-05-09,12372161.020144803,36486.59864259069,20197.89879077397,17796.227482523645,548219.7049251471,0.4311806321887672
2020-05-10,12363791.599601656,35486.748330274844,19615.203706072836,17267.918097594968,558700.0172505158,0.43271598869747196
2020-05-11,12355629.963771176,34533.104631404225,19062.298031825638,16764.5946461382,568871.559548442,0.43389285130420574
2020-05-12,12347673.489371423,33617.30522216566,18536.033085522384,16285.284459952665,578749.4380142032,0.4345911452925531
2020-05-13,12339921.92922089,32730.850281363204,18032.736710318368,15828.250383016564,588347.8084885234,0.4347167836077416
2020-05-14,12332376.971223483,31865.515679071756,17548.444663830385,15391.179321091566,597679.4843397115,0.4342081929700064
2020-05-15,12325041.720910775,31013.73833740785,17079.122681520348,14971.368806549122,606755.659910786,0.4330376324293718
2020-05-16,12317920.202192308,30168.897290177683,16620.86800609212,14565.90717729037,615585.7469532776,0.4312045664921864
2020-05-17,12311016.912108319,29325.485251501825,16170.07438866922,14171.839146782711,624177.3176910199,0.4287332758196143
2020-05-18,12304336.387912817,28479.232310988977,15723.559762664985,13786.30955328303,632536.1425884649,0.4256731995745285
2020-05-19,12297882.76364042,27627.21133773399,15278.666229731693,13406.683944772521,640666.3077848,0.422100075960409
2020-05-20,12291659.341320286,26767.905419280523,14833.338726963573,13030.64856065548,648570.3977593823,0.41811201740109843
2020-05-21,12285668.23070909,25901.19837698339,14386.178719289139,12656.291253905114,656249.730427846,0.4138223905563338
2020-05-22,12279910.028085932,25028.33416082156,13936.470302339198,12282.162212998457,663704.6321129323,0.4093617012426756
2020-05-23,12274383.501366409,24151.87813710074,13484.18956382943,11907.315678985888,670934.7400452112,0.4048763970304251
2020-05-24,12269085.352788202,23275.616619222375,13029.997238663162,11531.335568194605,677939.3218288516,0.40052238774826965
2020-05-25,12264010.131367316,22404.347269804603,12575.201293160775,11154.343279701692,684717.6021396418,0.3964543003698596
2020-05-26,12259150.295802759,21543.587746249657,12121.679458154777,10776.981535017516,691269.0847607643,0.3928186433052238
2020-05-27,12254496.41798337,20699.229262089728,11671.76448193331,10400.36997655855,697593.8546222188,0.38974530509861915
2020-05-28,12250037.490428919,19877.181602194625,11228.099454559255,10026.032305043444,703692.8428691796,0.38734500232039654
2020-05-29,12245761.253190046,19083.08473434911,10793.482936478564,9655.800389392198,709568.0391239696,0.38571210593445365
2020-05-30,12241654.498408945,18322.10691864674,10370.725295629145,9291.706511202134,715222.6402584447,0.3849264697934869
2020-05-31,12237703.364536531,17598.797189576842,9962.527391071962,8935.875899880768,720661.1324947859,0.38504967945526564
2020-06-01,12233893.638562705,16916.96419722137,9571.380151268844,8590.42752487569,725889.3099814232,0.3861195058551408
2020-06-02,12230211.067535156,16279.574600987933,9199.481127952178,8257.386231285425,730914.2362072864,0.3881432849404976
