date,S,E,I1,I2,R,beta
2020-03-05,1044103.632656506,54.95284696715576,12.526710276832384,0.0,0.0,5.000323145938255
2020-03-06,1044091.0508194651,63.524905063150484,14.903331856933422,1.2884887553371072,0.34541963747048166,4.587167341003105
2020-03-07,1044074.5794027569,74.5546194269868,17.8933411363972,2.947174864019411,1.1393480515407084,4.205669001534047
2020-03-08,1044044.9778650013,93.45421878192968,23.534558525834672,6.083684963909587,3.065344401320804,3.6102440264091906
2020-03-09,1043999.1950271425,121.13691321446954,32.54734133189954,11.062704598250093,7.176430176294045,3.0108679825481697
2020-03-10,1043941.650245405,153.96558648756212,43.91858178500578,17.431013137464312,14.156242739127821,2.635792928416119
2020-03-11,1043858.3816308451,199.74467426541167,60.196429980290674,26.72220051281835,26.081229375976893,2.2249826211009016
2020-03-12,1043731.610216903,267.0642032078395,84.72852160074648,40.92580668239448,46.8039612659182,1.772529032914418
2020-03-13,1043566.9586992797,350.4469757718756,116.06580106773922,59.43138934330149,78.23777178573123,1.5138244983513096
2020-03-14,1043362.590120734,449.54778090860424,154.09423043854662,82.36481187695924,122.55277032762763,1.369233064474333
2020-03-15,1043112.0314257968,566.4256834349898,199.67214886290907,110.3598752515052,182.6707808861789,1.2724041709099236
2020-03-16,1042808.8169926212,702.6521533363999,253.69371684652685,144.089472599241,261.91877164794266,1.1988976961691609
2020-03-17,1042446.8202871189,859.1333216223297,316.9521872657688,184.23540908172612,364.04184031527336,1.1374565426003351
2020-03-18,1042020.5996804391,1035.9613585733114,390.02317255045847,231.42620618556407,493.18495501605315,1.082520237364214
2020-03-19,1041525.7212550039,1232.3209197470244,473.169103132027,286.1648356323901,653.8315341476701,1.0313679254241392
2020-03-20,1040959.0067164368,1446.483850047622,566.2715311474423,348.75942795007853,850.6978603674416,0.9828174419022783
2020-03-21,1040318.6564132266,1675.9151812950602,668.8017372110082,419.26730863560726,1088.5894742777991,0.9365327115400703
2020-03-22,1039604.2341097759,1917.4752357513614,779.8368862567397,497.46149496382685,1372.2316957363155,0.8925847640760338
2020-03-23,1038816.5302487444,2167.680664606176,898.1195598978024,582.8255902524377,1706.0909371962077,0.8512094705030168
2020-03-24,1037957.3289180769,2422.988756958171,1022.151509470259,674.5782531618196,2094.205232918305,0.812683305365423
2020-03-25,1037029.1239710198,2680.0592905188596,1150.3079905548245,771.7239298781573,2540.0412068593823,0.7772303371006046
2020-03-26,1036034.8319077728,2935.9580088391695,1280.9550815788134,873.1223716020803,3046.3908670077712,0.7449858473805165
2020-03-27,1034977.5307737964,3188.2898133875065,1412.5550684425468,977.56699160059,3615.3157506735824,0.7159878422043452
2020-03-28,1033860.2421692904,3435.263266119052,1543.749904079712,1083.8621518010523,4248.139638150664,0.6901953784479729
2020-03-29,1032685.7746928493,3675.6859095852806,1673.4173195145258,1190.8912099421245,4945.485594607261,0.6674957300828253
2020-03-30,1031456.6496231755,3908.888631852963,1800.6953713613564,1297.6689735295424,5707.348883944435,0.6477057325883261
2020-03-31,1030175.1102098854,4134.594564357558,1924.9747177829313,1403.3740645580494,6533.194105494712,0.63057698369032
2020-04-01,1028843.2050726819,4352.753728738247,2045.8622762687678,1507.3592393477086,7422.063142642762,0.6157982044238531
2020-04-02,1027462.9235786839,4563.371362408624,2163.123206955778,1609.1404149940502,8372.68043557554,0.6030101961451445
2020-04-03,1026036.3500433881,4766.360405449543,2276.6121188786274,1708.3680995265554,9383.543655990663,0.5918305262600204
2020-04-04,1024565.8139096261,4961.432019920431,2386.2049218860334,1804.787408027466,10452.991148540477,0.5818741421281117
2020-04-05,1023054.0222261751,5148.027048446761,2491.7395618647424,1898.193549557546,11579.24178539237,0.5727749032320265
2020-04-06,1021504.1602592726,5325.291416799003,2592.9709522003677,1988.388854690179,12760.407012907857,0.5642067536962501
2020-04-07,1019919.9540950902,5492.090353292762,2689.5433231502116,2075.146200117806,13994.478274472867,0.5558957566128172
2020-04-08,1018305.6936615017,5647.054368451004,2780.979869068322,2158.181982996165,15279.295407221467,0.5476288733022087
2020-04-09,1016666.2029385824,5788.661488463594,2866.689825122686,2237.140374215285,16612.502891518005,0.5392625692162406
2020-04-10,1015006.7481574554,5915.354690425696,2945.994162861,2311.5903098003755,17991.50155090751,0.5307274464851773
2020-04-11,1013332.893314313,6025.6779311802975,3018.1681509464606,2381.0360620277006,19413.40389197873,0.5220235325673972
2020-04-12,1011650.3147162866,6118.416500168162,3082.49603972469,2444.9405962335836,20875.001174410063,0.5132120846512395
2020-04-13,1009964.5646899301,6192.749972310761,3138.334435922559,2502.759715819628,22372.749243542767,0.5044175562710813
2020-04-14,1008280.7850173601,6248.41332224437,3185.1839395584816,2553.9854147618444,23902.778996237754,0.4958227098928353
2020-04-15,1006603.4249201335,6285.815119101445,3222.762400961427,2598.1963217378657,25460.93648453513,0.4876436859362285
