date,S,E,I1,I2,R,beta
2020-03-01,6726329.472144206,54.103320597869555,12.37933267787215,0.0,0.0,5.000049419714521
2020-03-02,6726319.9504963225,60.75107372318186,14.1090593498995,0.8561084348668201,0.28862933607414537,4.7184849237355815
2020-03-03,6726291.564107885,80.1155670264783,19.397722596750757,3.4796560259717997,1.4002767059643153,4.038783896686148
2020-03-04,6726254.863928568,103.85061140189796,26.306344584334393,7.1057049236061625,3.8334926224597976,3.566507370138507
2020-03-05,6726205.721291006,134.23757079992512,35.61718399519089,12.102876040805496,8.284870111192278,3.1727609630163784
2020-03-06,6726132.760522734,177.78402226005775,49.587040805754825,19.578631411319957,16.258918655168838,2.7513171266698446
2020-03-07,6726020.448349782,242.8134394904562,71.11697990457398,31.118339024439642,30.479836532510134,2.328809803926143
2020-03-08,6725845.50062748,340.94402382231414,104.43786825527411,49.33730006520143,55.76870953724386,1.9083930840965395
2020-03-09,6725616.211290981,464.26890732084786,147.8031596156922,73.46581776464029,94.25326708145197,1.6947529702094983
2020-03-10,6725321.683711236,616.5316676270318,202.92144457844657,104.87140315591505,150.01027117282942,1.552269308054197
2020-03-11,6724951.563075586,800.1202640491323,271.4574473259817,144.93206983390624,227.96336625634686,1.4395567796783895
2020-03-12,6724497.052819653,1015.4905550373652,354.6981628626616,194.95432974258878,333.8589601797138,1.3399348581688193
2020-03-13,6723951.914250265,1260.7399387703706,453.24678901470145,256.0094581585407,474.1627987504485,1.2464743525892226
2020-03-14,6723313.320425081,1531.408836830993,566.7744636259325,328.74216293361474,655.8442808563225,1.1566532389459392
2020-03-15,6722582.441410638,1820.5652247500918,693.8608040604014,413.1910345949649,886.0458089790844,1.0699743764777567
2020-03-16,6721764.651091142,2119.201793752955,831.9516969813948,508.6529889476493,1171.6567410056707,0.9868007588761157
2020-03-17,6720869.3226536885,2416.89987348503,977.4497099741449,613.617612833879,1518.8293698723082,0.9077274994254849
2020-03-18,6719909.252410237,2702.6636505672345,1125.9288019995,725.786680316772,1932.4867762180916,0.8332984139470184
2020-03-19,6718899.771923542,2965.8329159295004,1272.448671457517,842.1809860367719,2415.8768594040203,0.7639320962627326
2020-03-20,6717857.637845725,3196.9772088657087,1411.9347709988572,959.3252452326134,2970.2234778727006,0.6999266126834656
2020-03-21,6716799.834418185,3388.6569088769525,1539.5810214145652,1073.4923019048467,3594.5159138854697,0.6414720377182791
2020-03-22,6715742.43800649,3535.9520798025655,1651.2259534593356,1180.979571381922,4285.462834583607,0.5886594033901084
2020-03-23,6714699.670433991,3636.703005596259,1743.6566461037396,1278.385406514938,5037.618002134099,0.5414866750322149
2020-03-24,6713683.23132889,3691.4509650369932,1814.806817936391,1362.8531586411582,5843.664859229121,0.49986300797597455
2020-03-25,6712701.953512329,3703.1109483303135,1863.8314342068525,1432.2559343232579,6694.828918089632,0.463612225638965
2020-03-26,6711761.764289698,3676.453956900732,1891.0595069796493,1485.304309186854,7581.373534844463,0.43248951462546015
2020-03-27,6710865.883280632,3617.503731494577,1897.845980869319,1521.5713385226682,8493.128370646195,0.4062085723603977
2020-03-28,6710015.168870326,3532.944758571034,1886.356194307725,1541.4415856162811,9420.001401566544,0.38446907938441577
2020-03-29,6709208.535986122,3429.6061911924303,1859.3199577099363,1546.000557452338,10352.433699892385,0.3669772267523852
2020-03-30,6708443.385045516,3314.056383022132,1819.7875336741715,1536.8859352254317,11281.768763423886,0.3534628557803812
2020-03-31,6707715.997751231,3192.320540709766,1770.9119044049849,1516.1225024573178,12200.52191303129,0.3436886412380193
2020-04-01,6707021.882659242,3069.707168803758,1715.7715566526326,1485.959755132928,13102.547930972227,0.3374453662275426
2020-04-02,6706356.07235207,2950.716292128504,1657.2374206399795,1448.725796657197,13983.1148762208,0.33453754344435205
2020-04-03,6705713.366129457,2839.016355528286,1597.8815830181582,1406.705212262121,14838.897952565703,0.33477607986375163
2020-04-04,6705088.521956578,2737.469899468621,1539.9238652581075,1362.0443646293816,15667.910045802777,0.33795583100148074
2020-04-05,6704476.404006334,2648.1921256350734,1485.20876538168,1316.6839902145257,16469.38611042169,0.3438444159540019
2020-04-06,6703872.079867779,2572.6396068759964,1435.2076221408383,1272.3169005155232,17243.637413025393,0.3521752716313953
2020-04-07,6703270.8807675345,2511.709923035445,1391.0405156369534,1230.3679024229925,17991.889869744915,0.36263587884021375
2020-04-08,6702668.443766522,2465.8335341348934,1353.5097682776016,1191.991841623715,18716.118440008424,0.37486020317371904
2020-04-09,6702060.739932226,2435.056522831477,1323.1384092702754,1158.0847826888757,19418.886572100266,0.3884333770729973
2020-04-10,6701444.094691354,2419.110511507501,1300.2096331480427,1129.303764033973,20103.19671793001,0.402895537595993
2020-04-11,6700815.2125299405,2417.4623261736256,1284.803068859558,1106.0910910762223,20772.355400857465,0.4177515991746854
2020-04-12,6700171.215785033,2429.339594983837,1276.8244153898086,1088.699508257532,21429.854007855967,0.4324829107199993
2020-04-13,6699509.700180635,2453.7359147019265,1276.026144014553,1077.2151168892465,22079.264457785284,0.4465658794228493
2020-04-14,6698828.801134054,2489.4056222644235,1282.0196715296518,1071.5759657161511,22724.14735251854,0.45949576836453854
2020-04-15,6698127.259821461,2534.8604760481835,1294.2814485702054,1071.5857002332223,23367.969490063377,0.4708190817792751
2020-04-16,6697404.475249656,2588.379848110451,1312.1571539792265,1076.9231426550962,24014.027828987117,0.48016344824161666
2020-04-17,6696660.532872828,2648.0393459108845,1334.8683612671766,1087.1498243732783,24665.378056911602,0.4872623283277285
2020-04-18,6695896.205389358,2711.757139725063,1361.52469578219,1101.7178970312075,25324.767405148083,0.49196937096490473
2020-04-19,6695112.921516991,2777.3577246076884,1391.1428334940574,1119.9804940251547,25994.572760020314,0.4942628074491323
2020-04-20,6694312.702178762,2842.649454868542,1422.6729458560405,1141.2060450729937,26676.746190443097,0.4942361654977255
2020-04-21,6693498.076032751,2905.501964951845,1455.03107457356,1164.5972403422973,27372.77066043709,0.49207310855760805
2020-04-22,6692671.977402328,2963.92150037577,1487.1342469343356,1189.3140254528273,28083.628661130628,0.4880269661835661
2020-04-23,6691837.621413917,3016.128832842479,1517.9377074317213,1214.4996425447534,28809.785888024624,0.4824032967634133
2020-04-24,6690998.362794571,3060.633059959678,1546.4735649195559,1239.3090281122134,29551.191597984518,0.4755406791377424
