date,S,E,I1,I2,R,beta
2020-02-23,8695354.162373237,51.60822204104684,12.190314481759737,0.0,0.0,5.000036685415926
2020-02-24,8695336.87737453,63.308699919162734,15.151092017014104,1.9357896356590845,0.6882578858512877,4.2114651119822435
2020-02-25,8695338.279247446,62.14253537937862,14.871063745436121,1.7750668477801028,0.89332594605062,4.4182783384781015
2020-02-26,8695329.057076877,67.99474962620432,16.726046397040946,2.746606598490812,1.4370583965769523,4.1053829936064945
2020-02-27,8695308.805795778,80.34344812016319,20.764906431541217,5.129322547778273,2.918700396801585,3.5256967541012587
2020-02-28,8695277.030251198,98.55687422674521,27.222904744144905,9.015040160055364,6.13801219451391,2.8837432310466373
2020-02-29,8695240.93188214,117.30469847570203,34.75903454514371,13.602382286523202,11.366045477039735,2.484074331563469
2020-03-01,8695192.000577813,141.53820201158464,44.68033345125754,19.84774812971321,19.898444720213742,2.067671230787229
2020-03-02,8695121.785043642,174.79630972538777,58.583764511459286,28.770659854255324,34.03134551675171,1.61322544244251
2020-03-03,8695030.096684365,215.91176131070094,76.13173745024815,40.29240759538088,55.53693310061551,1.2820171766177073
2020-03-04,8694921.202592937,262.19149414860095,96.03531583179148,53.62725954843538,84.91580085217657,1.119091957792112
2020-03-05,8694792.13154978,315.23651990314863,118.53400199048578,68.8350015033435,123.23906549551837,1.0321809464619573
2020-03-06,8694639.625200663,376.6956761378738,144.0739851001824,86.04965754923053,171.53621881396666,0.9893298742026398
2020-03-07,8694458.948316189,448.7940610983765,173.45317872131335,105.64999792402503,231.14090630202088,0.969333241505333
2020-03-08,8694244.550809303,533.9581120910366,207.64005569794801,128.1671405177734,303.6773725059481,0.9619846341649314
2020-03-09,8693989.998270769,634.8303905739173,247.74969288313994,154.2742275153757,391.1494192683341,0.9614610068287803
2020-03-10,8693687.925413191,754.2605012365062,295.0297845035187,184.77468973552223,496.0217613063505,0.9641070235237975
2020-03-11,8693330.026264386,895.2655520048734,350.8469411982613,220.5911020503434,621.2942095875052,0.9674993319317856
2020-03-12,8692907.091788705,1060.958100092507,416.66636013538,262.75284028044604,770.5687648738225,0.9700049720879427
2020-03-13,8692409.100795964,1254.4440814015593,494.0209215811746,312.37974597485385,948.1080038373303,0.9705455329994152
2020-03-14,8691825.36434638,1478.6977366671547,584.4682522355573,370.65939874967734,1158.881399666999,0.968469402705919
2020-03-15,8691144.713638002,1736.4278690685762,689.5372213346616,438.816713697966,1408.595076008168,0.9634753189965564
2020-03-16,8690355.717268027,2029.949578226689,810.6681233429397,518.0762696206591,1703.7002984946823,0.9555433033314376
2020-03-17,8689446.914290199,2361.071965515944,949.1515431219625,609.6193409954182,2051.3768179453123,0.9448643764898147
2020-03-18,8688407.051113209,2731.0084038995437,1106.0706977792252,714.5385275426154,2459.488738398416,0.9317684608643819
2020-03-19,8687225.316792931,3140.3085940784044,1282.250775417513,833.7930290231457,2936.512564078518,0.9166570181243069
2020-03-20,8685891.576661017,3588.807314059366,1478.2165219181315,968.166979598691,3491.4389088370517,0.8999517335486881
2020-03-21,8684396.605116297,4075.585333882094,1694.1577009306754,1118.2322477997877,4133.650538012608,0.8820538926372449
2020-03-22,8682732.309621291,4598.94716022711,1929.9019628210642,1284.316290696989,4872.779914991831,0.8633242491275337
2020-03-23,8680891.929992737,5156.425784959361,2184.89681623403,1466.4757457084424,5718.549613373481,0.8440784731438721
2020-03-24,8678870.184212454,5744.833824477765,2458.204690332085,1664.4772552590136,6680.599504738981,0.8246030440747731
2020-03-25,8676663.337200867,6360.370044023517,2748.517455139103,1877.7883865553865,7768.306046816016,0.8051591881498524
2020-03-26,8674269.206004232,6998.756055037624,3054.1917597505408,2105.5816626272626,8990.601046781012,0.7859724607915384
2020-03-27,8671687.123576328,7655.37726520984,3373.2997399345522,2346.752406268456,10355.798389640586,0.7672263245955985
2020-03-28,8668917.890263796,8325.400574460444,3703.687548023815,2599.948492388119,11871.436571320755,0.7490515325940162
2020-03-29,8665963.737718606,9003.853385036671,4043.0311633104166,2863.6075781079685,13544.142725756938,0.7315234401224922
2020-03-30,8662828.304432506,9685.674509543385,4388.882956547492,3135.9962530719,15379.520457744835,0.7146678717242534
2020-03-31,8659516.630257927,10365.736363914093,4738.707368533179,3415.2468672258715,17382.06060908577,0.698466821206399
2020-04-01,8656035.150648573,11038.862691608612,5089.90627823469,3699.389300778546,19555.072154465255,0.6828799720068995
2020-04-02,8652391.66748036,11699.86211110659,5439.840474793986,3986.377439173516,21900.62988461411,0.667858508334156
2020-04-03,8648595.310102757,12343.56246713717,5785.849714074602,4274.111594414972,24419.5365219444,0.6533508716777781
2020-04-04,8644656.48962305,12964.844062133836,6125.271081521826,4560.457616397213,27111.29773014089,0.639308338989146
2020-04-05,8640586.848115208,13558.669941269518,6455.456421318804,4843.263407204555,29974.10867349469,0.6256865247501038
2020-04-06,8636399.197386822,14120.119296830888,6773.788696020265,5120.373386874178,33004.8510222763,0.6124447975492403
2020-04-07,8632107.422493443,14644.445489890379,7077.700479890799,5389.641729556347,36199.099696331315,0.5995479705125493
2020-04-08,8627726.318135489,15127.181541149741,7364.701048723514,5648.946740269191,39551.13953104299,0.5869742653051117
2020-04-09,8623271.344019745,15564.293504742009,7632.419296677967,5896.21064435531,43053.99385422126,0.5747176050680821
2020-04-10,8618758.319445422,15952.35250747095,7878.6630709677775,6129.428767890314,46699.46935825349,0.562787800521857
2020-04-11,8614203.05652075,16288.721959606744,8101.491695801334,6346.709693840146,50478.22301017372,0.5512151534897897
2020-04-12,8609620.93900563,16571.74784823407,8299.300352978807,6546.326703442489,54379.85709807452,0.5400508650129734
2020-04-13,8605026.491648523,16800.91215119826,8470.90741121913,6726.778636304118,58393.04827997713,0.5293636446612867
2020-04-14,8600432.977894954,16976.92567027908,8615.632188629992,6886.854909993731,62505.71423788994,0.5192337960151696
2020-04-15,8595852.048151933,17101.755481578006,8733.353234248943,7025.697826835769,66705.21734792391,0.5097505433218094
2020-04-16,8591293.446447784,17178.59476637096,8824.542608742591,7142.855899562188,70978.60055609657,0.5010105955400213
2020-04-17,8586764.76374621,17211.798529042077,8890.276534967907,7238.323679317184,75312.84784706993,0.49311830314743016
2020-04-18,8582271.241386091,17206.78875124837,8932.226206713833,7312.566233319448,79695.16033951091,0.48618228212873743
2020-04-19,8577815.670795284,17169.894715602633,8952.62689040782,7366.527533917002,84113.23871905453,0.48030493272171826
2020-04-20,8573398.400899729,17108.135812428904,8954.219209343642,7401.620285211934,88555.56188379531,0.47557749374977715
2020-04-21,8569017.444570227,17028.966641435818,8940.164936754754,7419.695171213394,93011.65032496229,0.47207070098581766
2020-04-22,8564668.684626667,16939.99360729539,8913.939764823077,7422.989157543355,97472.30243437392,0.46982667579656245
2020-04-23,8560346.17297281,16848.67483560529,8879.207961905675,7414.054195294884,101929.7920733624,0.46885108479315435
2020-04-24,8556042.501613753,16762.02713168457,8839.684289900217,7395.669121223707,106378.01677380224,0.46910998562679307
2020-04-25,8551749.239227917,16686.343216696456,8798.990621577228,7370.738796115156,110812.58816562835,0.470522287484
2020-04-26,8547457.426476145,16626.924758212834,8760.51049887311,7342.184138030252,115230.85905347699,0.4729575672852201
2020-04-27,8543158.105083087,16587.847342772446,8727.249516750731,7312.827308135241,119631.88380243492,0.4762368186838136
2020-04-28,8538842.879984852,16571.75018507887,8701.705354901005,7285.27695572816,124016.31121410012,0.4801317999430685
2020-04-29,8534504.497201998,16579.661344914126,8685.748921614484,7261.817106413116,128386.21142286615,0.48436879071411915
2020-04-30,8530137.413000358,16610.871436692498,8680.52139641786,7244.303083235609,132744.84008587815,0.488637605604709
2020-05-01,8525738.401566634,16662.799842525637,8686.347312384863,7234.067769932987,137096.3451458702,0.4925878317133147
2020-05-02,8521307.255694127,16730.808918694605,8702.649115815822,7231.836716435611,141445.42226352575,0.49582847536477476
2020-05-03,8516847.518397998,16808.03603384424,8727.857121478763,7237.64695866346,145796.92240571004,0.4979425403571059
2020-05-04,8512367.150593601,16885.322412976682,8759.329854809792,7250.769211594633,150155.41282401638,0.4985063083997405
2020-05-05,8507879.005309291,16951.332668269053,8793.309638933679,7269.640840589145,154524.69484253507,0.4971255145759069
2020-05-06,8503400.950875035,16992.956432592586,8824.95240022532,7291.8257213209645,158907.28949726935,0.49347928143273767
2020-05-07,8498955.580047203,16995.978597965484,8848.462523205133,7314.022857447265,163303.91482944886,0.4873510732043001
2020-05-08,8494569.50816916,16945.953459424756,8857.339264797078,7332.142270850178,167712.99139509012,0.47864907006502
2020-05-09,8490272.215768704,16829.27869393423,8844.729134496078,7341.457818267151,172130.22062508183,0.4674288219681847
2020-05-10,8486094.455068983,16634.401653280438,8803.87978382188,7336.841058005315,176548.2843559645,0.4538968772938029
2020-05-11,8482066.439737067,16352.930515162116,8728.659883028262,7313.071504276959,180956.71379734174,0.4383892990747584
2020-05-12,8478215.927308565,15980.58396574319,8614.084528848678,7265.201240990551,185341.9673899306,0.42136601892832204
2020-05-13,8474566.350371862,15517.872880569987,8456.804017743014,7188.943990585393,189687.7399813704,0.4033773218853332
2020-05-14,8471135.289606985,14970.321524755502,8255.489735642033,7081.051944729684,193975.50568429526,0.3850235145072313
2020-05-15,8467933.472938599,14348.1724262354,8011.056017680258,6939.635963709351,198185.27154910142,0.36691155737637726
