date,S,E,I1,I2,R,beta_pred
2020-03-01,19779530.18798198,5092.8998762705305,1741.0004955428458,997.6918603674081,3005.8987830439232,1.374231245130221
2020-03-02,19776239.924074486,6821.615476293295,2299.8850986292405,1295.3345724021,3711.1610928584378,1.3734172253599466
2020-03-03,19771780.947571862,9182.546718332142,3066.562096791489,1703.7363925109169,4634.453099410458,1.372396012187256
2020-03-04,19765756.78221735,12379.191837496695,4112.899497075832,2263.0688255131035,5856.735832548729,1.371572049149233
2020-03-05,19757669.308467522,16657.3775412538,5529.527599395488,3025.464865648603,7487.5627462866105,1.3689613484958125
2020-03-06,19746913.57693348,22299.873510261787,7426.726679823802,4056.7463558830054,9673.033956585792,1.3624498363556141
2020-03-07,19732782.751153722,29613.33818563576,9932.962649119181,5437.261000448743,12604.531507047699,1.3517340353124507
2020-03-08,19714484.636624616,38908.129536237364,13190.434946210387,7261.238121912438,16527.472259212896,1.3353823973977201
2020-03-09,19691169.74765882,50472.69727815616,17347.51512776833,9634.210719316938,21748.984884955487,1.312233771397871
2020-03-10,19661969.089237534,64545.439293346484,22548.491012628892,12668.313441873011,28643.227279125433,1.2816277912431133
2020-03-11,19626038.73749284,81287.1532165305,28921.534249939792,16475.601583871216,37653.066944860955,1.2444981720708068
2020-03-12,19582608.72304806,100756.11166390152,36565.97468811756,21159.841374239444,49287.05781024299,1.2002088321328421
2020-03-13,19531033.73752636,122887.34602658896,45539.87218487956,26807.388524534133,64111.000762252115,1.1490982349262204
2020-03-14,19470842.79141152,147477.67884953343,55848.830245036275,33477.84081731493,82733.78941042365,1.0941520873902537
2020-03-15,19401784.46204735,174178.1350351057,67436.93923270285,41195.17301974662,105787.67614282724,1.0374984857631466
2020-03-16,19323863.51145413,202495.73256291688,80180.77541843991,49940.07302326443,133903.53303100634,0.9813054462592737
2020-03-17,19237364.41838138,231806.37281547414,93887.42077387209,59644.22684092577,167682.13035816696,0.9274917379426199
2020-03-18,19142857.201602004,261380.32006992094,108297.39985572867,70187.30973841017,207662.9125925896,0.8783099221080035
2020-03-19,19041182.266284857,290420.1559226714,123093.25881524164,81397.41342775467,254292.198330493,0.8336309274002094
2020-03-20,18933413.909132764,318108.5874910076,137913.89226732898,93055.4719892867,307893.1203871238,0.7931319968686779
2020-03-21,18820805.28309692,343661.31751976453,152373.87981827866,104903.87796604184,368639.8426585615,0.7577700437075681
2020-03-22,18704719.99857654,366379.29179555475,166086.21165074184,116658.94308200994,436538.52720401756,0.7273325328157265
2020-03-23,18586557.95218216,385693.76989179564,178686.19661990396,128026.30229890063,511417.12122875766,0.7014679454693422
2020-03-24,18467684.285924982,401198.12706236745,189853.8248812087,138717.84658306628,592925.2962409396,0.6797187242394377
2020-03-25,18349368.516032975,412663.3349135139,199332.03153960197,148468.4388108191,680544.8524426228,0.662229087068845
2020-03-26,18232738.17553006,420037.13854090835,206939.04252473806,157050.673444402,773609.7857960305,0.6476033054284276
2020-03-27,18118748.289382014,423429.617700664,212574.0018392189,164286.26450283604,871334.2289843505,0.6345957293463207
2020-03-28,18008165.50545166,423089.36351707834,216216.1572031426,170053.20524458867,972845.7920315285,0.6234475606182767
2020-03-29,17901565.297574908,419373.8017457299,217918.63641453086,174288.48299745625,1077221.5395084266,0.6137170976630423
2020-03-30,17799340.08405636,412716.9435456958,217798.08659775127,176986.63736412267,1183523.920280293,0.6050668396104256
2020-03-31,17701715.83597279,403597.2421635757,216021.62809727588,178194.80409893012,1290834.3025885324,0.597249389118555
2020-04-01,17608774.978963003,392507.44673644553,212792.43717039013,178005.0803658074,1398282.2698624432,0.590764500105512
2020-04-02,17520482.466004543,379928.68858892366,208335.21466129614,176545.12270719733,1505069.3958480211,0.584700607068305
2020-04-03,17436712.80633491,366309.68031210377,202882.64034120215,173967.91370829457,1610486.7970961472,0.578264859205378
2020-04-04,17357276.402501844,352051.34332198947,196663.47535017665,170441.52218397614,1713926.3080422378,0.5721080296212245
2020-04-05,17281942.981261205,337497.5656832482,189892.8620072688,166139.52728701572,1814885.5713726974,0.5661554241875068
2020-04-06,17210460.89208009,322931.6930743157,182765.23027742186,161232.66392067593,1912967.6997199906,0.5603743733995524
2020-04-07,17142572.553813852,308577.15179155924,175449.8094301241,155882.0756371089,2007876.4440444342,0.5547766028970131
2020-04-08,17078025.976227373,294601.3591238161,168088.43589263875,150234.31930194705,2099407.951796957,0.5501024565103159
