,mse_confirmed-only,mse_smell-0delay,mse_smell-6delay,mse_hh-0delay,mse_hh-6delay,naive,ihme
12001,548.4185436,531.6860036,473.9665775,548.5246998,551.9849048,558.2087912,40055.5015
12005,305.5266025,309.962369,310.2700727,305.7088611,307.4284812,324.2374972,14394.25975
12009,375.0210163,379.9656589,380.3822556,375.1025291,375.1764183,403.2674366,259198.4781
12011,21005.48758,20945.87516,21246.58171,20991.41171,20983.83761,33107.0961,1815342.997
12015,37.93794073,38.0108384,38.10206476,37.88785395,37.81174699,50.7693429,25318.26132
12017,33.39123671,31.84017315,32.43005919,33.44952865,33.82886786,38.79154519,14945.56448
12019,136.5406507,122.2701011,130.5073071,137.0371171,137.718537,175.6422965,29466.28049
12021,540.5289506,541.3671261,545.7436617,540.5474827,543.6849326,641.7480377,83677.24516
12031,5289.855086,5352.743379,5353.837543,5288.232579,5295.225102,6081.176497,499849.0973
12033,1488.948464,1513.490622,1515.007461,1488.836612,1498.129288,1642.407378,47695.04756
12035,14.29133705,11.81393189,14.40975925,14.31056923,14.40920164,15.99596322,9468.629601
12053,44.24210178,40.34508415,44.16747095,44.30882745,44.54072498,52.38472752,26066.85452
12057,7358.836989,7444.22198,7478.969787,7361.944642,7349.821942,8008.078493,1271222.49
12061,47.77210223,48.5145871,48.49750143,47.80165077,48.07098821,56.44180309,16674.89795
12069,168.1924533,166.9867714,167.3848934,168.1558945,168.1089594,199.1713389,87741.96964
12071,3464.573666,3504.222032,3524.657382,3465.811351,3460.788078,3805.834716,363912.5466
12073,1254.104003,1038.288907,1264.714133,1253.643025,1260.50448,1301.636353,43810.08678
12081,599.3266493,610.8399449,608.0331984,601.6298653,603.9095779,735.5347612,94173.44541
12083,997.3261164,1006.475566,1012.532702,997.501935,997.4992788,1072.083875,74790.41211
12085,207.9166324,172.8500741,208.0085025,208.2113128,209.2698644,201.8776632,16200.72788
12086,97288.32461,97678.01332,98761.24049,97272.99568,97876.96079,156108.5473,2290365.217
12091,226.4185147,229.9059423,229.6965966,226.2633645,227.2960708,249.5964342,26377.21688
12095,11475.41857,11565.42095,11647.88176,11478.66166,11465.04959,12255.4353,1131635.686
12097,890.5061889,899.0206405,903.6567588,890.6284567,895.5324265,1096.573111,71921.07994
12099,3172.364976,3154.170786,3199.543262,3159.263437,3166.283121,5521.903454,1289987.187
12101,500.7498569,507.2431556,507.934955,500.1801894,500.6112428,548.885961,213499.9206
12103,2027.756135,2061.130516,2062.106103,2027.867162,2028.677336,2132.791994,618842.286
12105,1196.156786,1215.656875,1212.344415,1196.838925,1196.90513,1395.703297,301755.0553
12109,119.3318499,117.5067581,118.5358617,119.2911621,119.9984928,134.3172236,45602.66665
12111,151.853356,147.6446005,152.56777,151.8233718,152.868994,202.5352097,66274.72387
12113,452.7723116,460.2611363,459.3863481,452.6856038,454.8596686,513.9651267,18414.26362
12115,446.8111969,453.7608689,454.0283048,447.3640573,446.5311477,530.1463333,125341.2019
12117,452.1085832,455.2351798,456.8226396,452.0290984,452.3614213,482.8019735,152361.951
12127,496.0714638,503.0585971,502.3455797,496.6269694,496.2365824,557.7442252,201431.3363
