,mse_confirmed-only,mse_smell-0delay,mse_smell-6delay,mse_hh-0delay,mse_hh-6delay,naive,ihme
36001,63.22133987,64.12036007,63.82923615,63.19805155,62.40161596,58.11818793,60898.64125
36007,83.42858389,84.6876093,84.68296169,83.33382489,83.7732708,82.95043732,25138.42927
36011,1.774068654,1.802294058,1.800563906,1.763734916,1.765019206,1.698923525,4216.636798
36013,11.00564658,9.976754465,10.92238939,11.0234353,11.08404367,10.96322045,11631.87516
36015,27.17114294,27.55513301,26.81748298,27.24918575,27.2982059,27.0595425,5007.782956
36019,0.802133354,0.810541962,0.815198818,0.806963656,0.822031971,0.778762054,4689.64848
36027,111.4146473,113.3731556,113.1990413,111.4023693,106.2259533,74.61560888,53636.04902
36029,340.6025615,345.3813914,344.8562376,340.4860744,340.2440025,278.8601704,545944.4386
36045,0.469646052,0.475605313,0.472596817,0.470600012,0.464984953,0.443709352,8844.661734
36053,13.83301381,14.00860149,14.05693573,8.201841206,2.629558035,13.62771922,3407.721046
36055,113.3332997,114.8598805,114.496485,113.2486067,113.3047311,99.65530388,378879.9842
36059,1796.689453,1815.271978,1825.515552,1780.342957,1784.762004,5922.782126,1047564.041
36063,13.94841925,14.14663451,14.18864337,13.95304297,13.58465017,11.85960978,29214.88895
36065,27.97355242,28.43669855,28.39558048,27.97979471,27.94399726,23.95245571,34857.76751
36067,78.37487095,79.51933682,79.64761794,78.46640996,78.47176783,75.05068401,141705.4453
36069,3.55736922,3.557207783,3.566959609,3.55725215,3.571887506,3.450997982,8589.470017
36071,1344.648776,1365.616089,1366.420013,1344.805932,1267.209334,1225.038686,75381.45516
36075,4.248238586,4.328558242,3.649383631,4.30196573,4.406271097,4.237833595,9872.108982
36083,6.37176687,6.483444764,6.483632393,6.381561208,6.415568494,6.258353891,17454.00326
36087,1749.997394,1779.270841,1784.507198,1750.925864,1660.959412,1699.676497,50701.73043
36089,2.481848374,2.494190172,2.476182367,1.969948109,1.500580311,2.537788742,8288.53562
36091,6.857548662,6.709494345,6.908562259,6.86207845,6.773265759,6.675487778,37569.46099
36093,36.44279647,36.97716505,37.0244696,36.46694976,34.80692094,34.98149809,16092.85987
36101,7.518691194,7.639696549,7.641512294,7.538134537,7.031947107,7.403005158,6465.365395
36103,1414.876762,1443.099773,1434.481068,1413.051552,1412.490414,5701.843575,1215130.559
36107,3.798455435,3.849031014,3.852935554,3.675557227,3.061592167,3.76519399,1589.573822
36109,4.184909725,3.856321123,3.934126315,4.449281119,4.605083561,4.171787396,7545.038953
36111,60.00362905,60.8332465,60.90359549,59.9812206,56.14582244,58.6505943,19951.02155
36117,1.225452386,1.205321039,1.221552261,1.089894848,1.121640438,1.188046647,5798.441276
36119,649.6675998,660.3020494,660.2003191,646.4768052,646.87865,3136.134896,497040.4836
New York City,30673.54272,31060.19923,31180.68254,30556.48481,30497.11959,122775.4161,39005054.05
