,mse_confirmed-only,mse_smell-0delay,mse_hh-0delay,naive,ihme
36001,63.13545063,140.0767908,138.5957973,58.11818793,204.6851658
36007,83.42712538,957.569476,943.8491961,82.95043732,571.8458142
36011,1.774575451,5.643574773,5.542771193,1.698923525,4.261771474
36013,11.00586193,97.31803329,102.7851009,10.96322045,36.29408168
36015,27.17078271,455.3275383,453.069232,27.0595425,213.8682807
36019,0.802066564,12.48561898,12.32040676,0.778762054,1.395856024
36027,111.5930123,102.9708347,101.7257901,74.61560888,50.90548943
36029,340.6159001,1118.94328,1118.74185,278.8601704,2671.435429
36045,0.469962606,435.8688739,432.0504454,0.443709352,0.748026901
36053,13.8308694,15010.47578,13200.42123,13.62771922,11.8074507
36055,113.3474365,1333.278699,1314.019276,99.65530388,877.3563317
36059,1787.494695,1529.261917,1484.385015,5922.782126,8713.228232
36063,13.95948437,190.8630109,188.8580695,11.85960978,93.49350235
36065,27.97012345,104.1846334,102.4950345,23.95245571,159.3417451
36067,78.37823682,4490.687004,4439.641864,75.05068401,702.8488418
36069,3.556283708,377.765933,372.8718636,3.450997982,10.57784576
36071,1344.120845,1355.692588,1333.756678,1225.038686,603.1009655
36075,4.248471831,36.72531337,36.91771386,4.237833595,14.32876824
36083,6.372877341,2253.985861,2228.408072,6.258353891,24.97710959
36087,1749.986877,1772.750907,1742.558513,1699.676497,1422.372873
36089,2.483927028,29.81885948,29.8728568,2.537788742,2.263435178
36091,6.857804457,863.4637936,853.9184839,6.675487778,27.00999097
36093,36.43762894,79.75983674,79.63691629,34.98149809,49.30733105
36101,7.520588612,9.408490142,9.349053922,7.403005158,57.26076485
36103,1418.030694,1207.257153,1198.537146,5701.843575,1987.043144
36107,3.798045481,88.99660446,88.43079527,3.76519399,16.17898232
36109,4.184924632,202.78076,227.0059486,4.171787396,12.26516097
36111,60.02594647,67.70063793,66.87137617,58.6505943,48.02274898
36117,1.225561254,30.30246168,30.40760015,1.188046647,3.939066864
36119,647.1870829,572.2855296,559.3519535,3136.134896,761.0288006
New York City,30702.45505,24470.49318,24179.67232,122775.4161,33655.68134
